Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535)
7.755255488016908e-14,0.1122453720017629,0.0,0.0,0.0,0.0,0.9999999999685889,3.1210016731636861e-11,1.0052313558166802e-13,2.6483473904437502e-19,1.0052313870148827e-13,1.9142164941316348e-19,5.7444369780394758e-20,3.9497177360871316e-37,2.5268793089050061e-34,9.445315868448998e-40,4.1628072231583339e-57,6.5477284823414491e-60,1.5902683792376985e-63,1.6114848269433044e-65,3.632273403089918e-66,9.4928625139264152e-43,3.9426598094239749e-44,3.355218225126101e-62,1.9001675936797592e-58,3.0200925792574269e-55,9.9563827367254384e-64,1.2560397181202727e-74,1.0909239614170086e-121,1.0611723121643141e-101
1.5510563570082768e-13,0.11224537200352576,0.0,0.0,0.0,0.0,0.99999999993717781,6.2420244589874025e-11,2.0104721459493332e-13,1.0593443374141187e-18,2.0104722707546838e-13,7.6569134652147139e-19,2.2977891032611784e-19,6.3194096072146317e-36,2.021964114309362e-33,1.5115847509672267e-38,2.6646275119103982e-55,4.1905280206729794e-58,1.9200114243174232e-61,2.0626920743164057e-63,4.6492876078939008e-64,3.0376530396012342e-41,1.2616111289387782e-42,4.2955415716512639e-60,1.2173989375986268e-56,1.9328267014623322e-53,1.2747106124069983e-61,3.2161228683953027e-72,8.8920706813177199e-118,2.1730918028705003e-98
3.1021179734214487e-13,0.11224537200705155,0.0,0.0,0.0,0.0,0.99999999987435495,1.2484069871242123e-10,4.0209615775302123e-13,4.2373880709288636e-18,4.0209620768481309e-13,3.0627800100236346e-18,9.1912007866818161e-19,1.0110473559654749e-34,1.6182939621163628e-32,2.4195820174556525e-37,1.7058877481269004e-53,3.5441122385912216e-56,2.9116102058729657e-59,3.4823869864556171e-61,7.849255086532247e-62,9.7199499109143777e-40,4.0368427244299047e-41,5.5004181184570614e-58,7.8077735614901135e-55,1.2369497302955586e-51,1.632357651318262e-59,8.2365360153429516e-70,3.811503531073078e-113,7.0685410063605912e-95
6.204241206247793e-13,0.11224537201410309,0.0,0.0,0.0,0.0,0.99999999974871001,2.4968160058180473e-10,8.0419718457024314e-13,1.6949573396485836e-17,8.0419738437386288e-13,1.2251190297142726e-17,3.6765017890915776e-18,1.6174786136796709e-33,1.2957856690293671e-31,3.8746612660607798e-36,1.0924332566481626e-51,2.2775735329373353e-54,3.1132082758637702e-57,4.4841281763428793e-59,1.0107139058959434e-59,3.1100166750243045e-38,1.2915803770407728e-39,7.045920496563111e-56,5.0179527869536539e-53,7.9156620411974663e-50,2.0912661777240125e-57,2.1102067814226808e-67,3.06311303702244e-109,1.4473029804279303e-91
1e-12,0.11224537202820618,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694495304623e-10,1.2962157908035795e-12,4.8058851235705146e-17,1.2962163577000886e-12,3.4737316423500904e-17,1.0424442551004443e-17,1.6457170716901569e-32,6.8563661421000843e-31,3.949753724777635e-35,4.3250415147177105e-50,9.0161713530456038e-53,1.8346868802957052e-55,3.5329694135901351e-57,7.9632020626784386e-58,6.2079393055208753e-37,2.5779160065455711e-38,5.5534494967217058e-54,2.000682836423756e-51,3.1294725164934834e-48,1.6486852776811253e-55,3.3183790396053046e-65,1.4791472834219587e-105,1.8124844982549805e-88
1.2408487671900478e-12,0.11224537202820618,0.0,0.0,0.0,0.0,0.99999999949741958,4.9936337881770536e-10,1.6084118000074021e-12,6.7798333173124488e-17,1.6084125998319623e-12,4.9005229771016879e-17,1.4706150904151394e-17,2.5873263103948891e-32,1.0384669768337544e-30,6.2100990810221703e-35,7.0000528934679641e-50,1.4592602291212912e-52,2.9790798016976492e-55,5.7462590505097639e-57,1.2951887020053938e-57,9.9496685283382973e-37,4.1317037204512873e-38,9.0325205438392911e-54,3.2383176355042894e-51,5.0649612104230963e-48,2.6815407594420254e-55,5.4105696575850135e-65,2.4175025486361945e-105,2.9616251561923409e-88
2.481698060320585e-12,0.11224537205641236,0.0,0.0,0.0,0.0,0.99999999899483882,9.9872683327786537e-10,3.216891276480932e-12,2.7119339075987185e-16,3.216894480656552e-12,1.9602448071707031e-16,5.8825697526954918e-17,4.1376702905168156e-31,8.33713992054034e-30,9.9701961096955655e-34,4.4908613141926293e-48,9.3651145498868395e-51,2.5374750660177092e-53,7.3754902832599427e-55,1.6623941028731529e-55,3.1823631780265417e-35,1.3212773347418676e-36,1.1596731477788309e-51,2.1068280217325067e-49,3.2402104069137529e-46,3.4444381870899981e-53,1.3894187979638382e-62,1.846637625826577e-101,6.0553961831373144e-85
3.7225473534511225e-12,0.11224537208461856,0.0,0.0,0.0,0.0,0.99999999849225796,1.4980901856633991e-09,4.8254209967399609e-12,5.762859686377221e-16,4.8254278127749466e-12,4.1655719997729113e-16,1.2500619816511235e-16,1.5771251367720803e-30,2.389515030830908e-29,3.6765981196593042e-33,2.508124617072494e-47,4.6506291298044496e-50,1.3386924623384287e-52,4.3716164681011733e-54,9.8533426473594954e-55,1.4933135481679709e-34,6.1996205852571219e-36,7.5894935526194366e-51,1.1910010261085441e-48,1.8207474763413468e-45,2.2676087502902328e-52,1.0447976801640626e-61,1.0580674977118075e-100,4.8060708292212161e-84
4.96339664658166e-12,0.11224537211282476,0.0,0.0,0.0,0.0,0.99999999798967654,1.9974534359740627e-09,6.434000959172958e-12,9.8307604907723875e-16,6.4340125977745548e-12,7.1060568380313117e-16,2.1324835846583489e-16,4.2425569252354587e-30,5.0532567384146703e-29,9.3432702188805928e-33,9.4336269773438395e-47,1.9709798154672332e-49,5.7601134744107592e-52,1.9773136863542328e-53,4.4567292841495788e-54,4.6543473602627004e-34,1.9321764502397881e-35,3.1725083405269761e-50,4.2837617031983436e-48,6.4859234788526252e-45,9.1341000716764764e-52,4.8297919119676219e-61,1.8120126738340015e-99,4.0217986537292542e-83
7.445095232842734e-12,0.11224537216923716,0.0,0.0,0.0,0.0,0.99999999698451381,2.9961796968670586e-09,9.6512787938184213e-12,2.0353339694760188e-15,9.6513029289291648e-12,1.4712467726763972e-15,4.4151223256666559e-16,1.7154580659156072e-29,1.3881683022305522e-28,3.2817024108398307e-32,6.7989475881379795e-46,1.7863582476788273e-48,5.4426578086716975e-51,2.0588310117313738e-52,4.6404472745276115e-53,2.2926480161565796e-33,9.5166235879251327e-35,2.6323814065889575e-49,2.631629776766802e-47,3.8450613539120761e-44,6.4907643829346574e-51,4.6035454101861289e-60,1.9736469504270978e-97,1.6084911840840664e-81
