Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470)
1.2537534927298584e-15,0.11224537200002849,0.0,0.0,0.0,0.0,0.99999999999949241,5.0455678569951315e-13,1.6251053382258656e-15,6.9230882218042053e-23,1.625105339041346e-15,5.0039791153852309e-23,1.5016609670429421e-23,2.6995339342117286e-44,1.0679964884642498e-39,6.4562943110212968e-47,7.4403001278048393e-68,1.1699531642441106e-70,4.884701701848516e-76,4.6569287915062246e-78,1.0496685844295903e-78,1.0493119035503249e-51,4.3581423152454735e-53,9.6985421129806971e-75,3.3933588999892007e-69,5.3990757973609016e-66,2.878012173639231e-76,5.8720091640589949e-89,5.6645293578723953e-145,2.0972711371740442e-121,7.2880594700210123e-127,1.3798832186081009e-109
2.508051385586825e-15,0.11224537200005705,0.0,0.0,0.0,0.0,0.99999999999898392,1.0093326580102721e-12,3.2509163920245167e-15,2.7701370624320556e-22,3.2509163952875069e-15,2.002243480751337e-22,6.008599983175027e-23,4.3217641268201027e-43,8.5472484555899137e-39,1.0334311447645091e-45,4.7648166206379588e-66,7.4942768765229437e-69,6.2514895436455866e-74,5.9661460480227447e-76,1.3447652493277373e-76,3.3598143692548945e-50,1.3954427204060652e-51,1.2422076958710786e-72,2.1731129208392506e-67,3.4575170945192629e-64,3.6861361595698453e-74,1.5041996503886739e-86,4.6466258110195303e-141,4.3001796836412177e-118,2.9886166955988374e-123,1.4058492728531454e-106
5.016647171300757e-15,0.11224537200011404,0.0,0.0,0.0,0.0,0.99999999999796829,2.0188844022148525e-12,6.5025387049975604e-15,1.1082352052331036e-21,6.5025387180516859e-15,8.0102779947763227e-22,2.4038313386293318e-22,6.9168259163695324e-42,6.8391465013042004e-38,1.6538377809177943e-44,3.0504621068011303e-64,4.7984358558838261e-67,7.9889319861133693e-72,7.6400351126975408e-74,1.7220586645339735e-74,1.0754625300145085e-48,4.4667522082105147e-50,1.5905417723279538e-70,1.3912642324222285e-65,2.2134845154507233e-62,4.7197396843713024e-72,3.8520054743982893e-84,3.808605370177354e-137,8.8117908162558741e-115,1.2248141332501091e-119,1.4227860792413494e-103
1.0033838742728622e-14,0.1122453720002281,0.0,0.0,0.0,0.0,0.99999999999593592,4.0379878889562606e-12,1.3005784152446483e-14,4.4333016057503319e-21,1.300578420466756e-14,3.2043722043322996e-21,9.6161086340032273e-22,1.1068507706312097e-40,5.471915295584289e-37,2.6464464309853041e-43,1.9526236317924676e-62,3.0716621139755048e-65,1.018605983770513e-69,9.7813739879044513e-72,2.2047148780273021e-72,3.4419902476141112e-47,1.429571573514567e-48,2.0362425844096315e-68,8.9060570018109651e-64,1.4168438594120816e-60,6.0422823801001461e-70,9.8628335893483862e-82,3.1200957192442142e-133,1.8051412465040159e-111,5.018014389503153e-116,1.4225387427593063e-100
2.0068221885584354e-14,0.11224537200045617,0.0,0.0,0.0,0.0,0.99999999999187184,8.0761948557680679e-12,2.6012278333354854e-14,1.773392800716772e-20,2.6012278542250236e-14,1.2818012236719443e-20,3.8466005415021688e-21,1.7710828070920383e-39,4.3778657962305389e-36,4.2346473714609291e-42,1.2498024801231115e-60,1.9660657158387358e-63,1.2933289757316424e-67,1.2521456400470813e-69,2.8223272938862e-70,1.10151529150816e-45,4.5749482045639096e-47,2.6066622501762332e-66,5.7010885023067074e-62,9.0684616107289792e-59,7.7349372511589565e-68,2.5251509237538905e-79,2.5547574829280637e-129,3.6973127161305672e-108,2.05544689943044e-112,1.3904658049166535e-97
4.013698817129581e-14,0.11224537200091236,0.0,0.0,0.0,0.0,0.99999999998374356,1.6152608762707642e-11,5.2025279839206852e-14,7.0937155133399908e-20,5.2025280674826023e-14,5.1273106908032857e-20,1.5386719758831387e-20,2.833812680942367e-38,3.5025769602958171e-35,6.7759847713030132e-41,7.9993664402316709e-59,1.2583352575805159e-61,1.6289915424956305e-65,1.602815000593683e-67,3.6127328786212021e-68,3.5249537954502445e-44,1.4640228165233384e-45,3.3368252147052523e-64,3.6498305797913074e-60,5.8039972178537234e-57,9.9016661931467746e-66,6.464971795412911e-77,2.0902957017142211e-125,7.57201903444559e-105,8.4178365961176512e-109,1.3049558471831412e-94
8.027452074271874e-14,0.11224537200182479,0.0,0.0,0.0,0.0,0.99999999996748634,3.2305436469850638e-11,1.0405133542699727e-13,2.8375150605437896e-19,1.0405133876967299e-13,2.0509463240335906e-19,6.154754151815378e-20,4.5341098079970727e-37,2.8024167329591128e-34,1.0842918835287061e-39,5.1200981276130857e-57,8.0534110540384706e-60,2.0203432542156527e-63,2.051620546015526e-65,4.6243355438712474e-66,1.1279888075986808e-42,4.6848613007790865e-44,4.2716431300514071e-62,2.3372093885034503e-58,3.7145783595048328e-55,1.2675824872953717e-63,1.6552334286531204e-74,1.7079624361433323e-121,1.5505491676233595e-101,3.4465278232325079e-105,1.1449960504204792e-91
1.605495858855646e-13,0.1122453720036495,0.0,0.0,0.0,0.0,0.99999999993497291,6.4611091457192005e-11,2.0810365690648758e-13,1.1350117895698003e-18,2.0810367027857892e-13,8.2038364981586116e-19,2.4619170937713142e-19,7.2544084866648908e-36,2.2424617465298859e-33,1.7352637541389917e-38,3.2774102374378905e-55,5.154164379542343e-58,2.4347142266943871e-61,2.6260653478291718e-63,5.9191251302375705e-64,3.6094855515911837e-41,1.4991059119681884e-42,5.4688375645300172e-60,1.4974579699558265e-56,2.3772879152176458e-53,1.6228919731811963e-61,4.2382979933123587e-72,1.3919079276453358e-117,3.1745326684783969e-98,1.4104609103776159e-101,9.1154617179349251e-89
3.210997161712563e-13,0.11224537200729903,0.0,0.0,0.0,0.0,0.99999999986994537,1.2922239972409567e-10,4.1620914107761442e-13,4.5400586432897299e-18,4.1620919457667916e-13,3.2815505247960328e-18,9.8477167079593755e-19,1.1606360395069262e-34,1.7947988064932472e-32,2.7776651007246048e-37,2.098212021334093e-53,4.3591357206226217e-56,3.6805491666096285e-59,4.4335494197234103e-61,9.9931619119929776e-62,1.1549687917449673e-39,4.7967532922425255e-41,7.0029110483545727e-58,9.6046344238342621e-55,1.5213884406265206e-51,2.078260822477834e-59,1.0854489765309223e-69,5.9643124626421426e-113,1.032134699732202e-94,9.160491910394408e-98,1.0192054270823492e-85
6.421999767426397e-13,0.11224537201459808,0.0,0.0,0.0,0.0,0.99999999973989007,2.5844500942678382e-10,8.3242347424052278e-13,1.8160257177448084e-17,8.324236883215605e-13,1.3126279430788898e-17,3.9391103232508057e-18,1.8567832477832031e-33,1.4371596954038804e-31,4.4482208293430964e-36,1.3437023048573983e-51,2.8013973520507873e-54,3.9170135803799881e-57,5.7090241217253234e-59,1.2868028597661945e-59,3.6954480766345861e-38,1.5347035073763179e-39,8.970821980904026e-56,6.1736723506441664e-53,9.7358460523192754e-50,2.6626094086970198e-57,2.7810046454043076e-67,4.7900897414362806e-109,2.1114358135844591e-91,3.739831657996968e-94,6.4636974484942136e-83
