Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
0.0005616708037287576,0.15786526783288937,0.0,0.0,0.0,0.0,0.41479747259475885,0.0003973081416277606,0.00013009402085119353,0.067472839075876617,5.1328521868005475e-05,0.23010020623908828,0.25684779601862467,1.9284782476382533e-07,9.4086266596683575e-06,0.027098757847103062,2.5728647854815147e-08,1.0646875785154355e-07,4.2823385052070137e-10,0.00061206724927053129,1.5507680869688283e-06,0.0018125987899998378,2.3226128173725163e-07,0.00046884553552068711,7.1851942422686185e-08,4.4606446975068706e-05,0.0001033295515201929,5.1160985480116244e-05
0.000565658407852611,0.15806641224845047,0.0,0.0,0.0,0.0,0.41304766159062045,0.00039639316490208812,0.00012988356524860919,0.067769913401968807,5.1161988213049728e-05,0.23055092088589024,0.25761937578491217,1.9280138386202466e-07,9.4466985304818068e-06,0.027308557249071271,2.5866573987617671e-08,1.0722848607541235e-07,4.3128959522877052e-10,0.00061955245586441706,1.5644525754552925e-06,0.0018213922329094702,2.3262762320121487e-07,0.00047297714063555336,7.2227411401395054e-08,4.4804128871998522e-05,0.0001042493792983649,5.1514697719555216e-05
0.0005696460119764643,0.15826656212875184,0.0,0.0,0.0,0.0,0.41131165603697489,0.0003954839782146695,0.0001296719491591056,0.06806563195093572,5.0996679116888448e-05,0.23099575831674063,0.25838484880326018,1.9275089410009115e-07,9.4844034469489355e-06,0.027517945435299136,2.6003546894241554e-08,1.0798343243664718e-07,4.3432610654395263e-10,0.00062704794188247765,1.5780770551664387e-06,0.0018301242015870915,2.329844577016285e-07,0.00047710397659797061,7.2599837383682691e-08,4.5000073982547142e-05,0.00010516860640163341,5.1866812850407651e-05
0.0005736336161003177,0.1584657262472458,0.0,0.0,0.0,0.0,0.40958928719627336,0.00039458051576522535,0.00012945922023451721,0.068360006801455417,5.083258028287617e-05,0.23143480244561507,0.25914428930423289,1.9269644462375601e-07,9.5217448810636269e-06,0.027726920955098464,2.613957280977304e-08,1.0873359747350062e-07,4.3734338663117488e-10,0.00063455323202288771,1.591641043745179e-06,0.0018387952163233722,2.3333194073369942e-07,0.00048122598504055986,7.2969245125531949e-08,4.5194298621101366e-05,0.00010608721884788284,5.221733611722294e-05
0.0005776212202241711,0.15866391289777848,0.0,0.0,0.0,0.0,0.40788038908624197,0.00039368271308295533,0.00012924542518385893,0.068653049863990678,5.0669677167484581e-05,0.23186813572645573,0.25989777031185768,1.9263812419127564e-07,9.5587262500124012e-06,0.027935482432030284,2.627465794864099e-08,1.0947898075985824e-07,4.4034143377654878e-10,0.00064206785846687177,1.6051440652634145e-06,0.0018474057928988706,2.3367022574605177e-07,0.00048534310946998186,7.3335658974190863e-08,4.5386818972947729e-05,0.00010700520299571343,5.256627288077864e-05
0.0005816088243480245,0.15886113039367755,0.0,0.0,0.0,0.0,0.40618479839612243,0.00039279050546554259,0.00012903060903948126,0.068944772884666619,5.0507956768608563e-05,0.2322958392004803,0.26064536368033392,1.9257601737913491e-07,9.5953507159010335e-06,0.028143628560435618,2.6408808416014587e-08,1.1021958134176513e-07,4.433202441431013e-10,0.00064959136070566372,1.6185856179424225e-06,0.001855956442760836,2.3399945859859008e-07,0.00048945529545976003,7.3699101308565711e-08,4.5577650952483066e-05,0.00010792254572664232,5.2913628461067231e-05
0.0005855964284718778,0.15905738690518695,0.0,0.0,0.0,0.0,0.40450235454655176,0.00039190383176568473,0.00012881481656610148,0.069235187446841637,5.0347403373325015e-05,0.23271799245126418,0.26138714006803127,1.9251021081350819e-07,9.6316220530438065e-06,0.028351358113060932,2.654203050550289e-08,1.1095540552045739e-07,4.4627984307539687e-10,0.0006571232856912516,1.6319653651682269e-06,0.0018644476728407028,2.3431979573038105e-07,0.00049356249025250495,7.4059599802401263e-08,4.5766810492234398e-05,0.00010883923407565535,5.3259408452419395e-05
0.0005884653052616814,0.15919799354489797,0.0,0.0,0.0,0.0,0.40329996547546498,0.00039126930384640791,0.00012865898472901496,0.069443322934342813,5.0232608505101995e-05,0.23301832098559244,0.26191725120102438,1.9246062365105364e-07,9.6575006041771886e-06,0.028500550569541601,2.6637306175593295e-08,1.1148183802969396e-07,4.4839723624810621e-10,0.0006625470795062,1.6415528947045483e-06,0.0018705202070003072,2.3454483607813588e-07,0.00049651429069589041,7.4317150328234668e-08,4.5901875474065211e-05,0.00010949833256315665,5.3507208063239206e-05
0.000591334182051485,0.15933810993701455,0.0,0.0,0.0,0.0,0.40210424154282259,0.00039063758522958918,0.00012850268514672927,0.069650791277966195,5.0118406524847758e-05,0.23331584582624779,0.26244441292651932,1.9240919334047508e-07,9.6831991056547543e-06,0.028649526405308424,2.6732106742925886e-08,1.1200579890887739e-07,4.5050468814153134e-10,0.00066797483909044144,1.65110802510797e-06,0.0018765624313845325,2.3476539635628176e-07,0.00049946346319295763,7.4573196557250745e-08,4.6036088715781965e-05,0.00011015708136454531,5.3754197159052092e-05
0.0005942030588412886,0.15947773903109566,0.0,0.0,0.0,0.0,0.40091512546093838,0.00039000865352466712,0.00012834593328874534,0.069857596641703656,5.0004792071951503e-05,0.23361059527006392,0.26296865045785156,1.9235594977581522e-07,9.7087188864980113e-06,0.02879828523582249,2.6826434499074924e-08,1.1252729077900067e-07,4.52602209297716e-10,0.00067340640302503238,1.660630641308567e-06,0.0018825745307130871,2.3498153139914413e-07,0.00050240999001461358,7.4827748278355315e-08,4.6169455959100498e-05,0.00011081547607848878,5.4000377859508248e-05
0.0005970719356310922,0.15961688375634187,0.0,0.0,0.0,0.0,0.39973256061869289,0.00038938248697656841,0.00012818874392897729,0.070063743148811003,4.9891760274733123e-05,0.23390259725369569,0.26348998871182167,1.9230092226921664e-07,9.7340611040120872e-06,0.02894682669581642,2.6920291733055561e-08,1.1304631493651203e-07,4.5468980493119327e-10,0.00067884161188050114,1.6701206055356672e-06,0.0018885566885447926,2.3519329209252099e-07,0.00050535385390270999,7.5080813806996141e-08,4.6301982917816654e-05,0.00011147351238514401,5.4245752316910828e-05
0.0005999408124208957,0.1597555470064317,0.0,0.0,0.0,0.0,0.39855649106745217,0.00038875906383119767,0.00012803113145888568,0.070269234882631773,4.977930679496286e-05,0.23419187936255331,0.26400845231460235,1.9224413909119044e-07,9.7592268281710032e-06,0.029095150437975864,2.7013680715821512e-08,1.1356287200964579e-07,4.567674775688115e-10,0.0006842803081554004,1.6795777589668957e-06,0.0018945090872971547,2.3540072707223094e-07,0.00050829503804269884,7.5332400797988453e-08,4.6433675274148319e-05,0.00011213118604154616,5.4490322714377765e-05
0.0006028096892106993,0.1598937316582673,0.0,0.0,0.0,0.0,0.39738686151593516,0.00038813836234533489,0.000127873110551773,0.070474075887262344,4.9667426598536766e-05,0.23447846883230547,0.26452406560473263,1.9218562848160268e-07,9.784217372969249e-06,0.029243256133064353,2.7106603724030418e-08,1.1407696522205256e-07,4.5883524017656608e-10,0.00068972233623362399,1.6890019927300472e-06,0.0019004319082549077,2.3560388946047955e-07,0.00051123352608664044,7.5582519067573256e-08,4.6564538669951198e-05,0.00011278849289744968,5.4734091254694639e-05
0.0006056785660005029,0.16003144054999913,0.0,0.0,0.0,0.0,0.39622361734697986,0.00038752036111687612,0.00012771469559269219,0.070678270167962104,4.9556114507538933e-05,0.23476239253544554,0.26503685262580734,1.921254187077106e-07,9.809034011468916e-06,0.02939114347319776,2.7199063017940477e-08,1.14588597858438e-07,4.6089310596608375e-10,0.00069516754259867943,1.698393215426386e-06,0.0019063253315898833,2.3580283128119618e-07,0.00051416930221972231,7.5831177959358257e-08,4.6694578700947064e-05,0.00011344542891651606,5.4977060155537838e-05
0.0006085474427903065,0.16016867653694764,0.0,0.0,0.0,0.0,0.39506670455794402,0.00038690503910132336,0.00012755590000429012,0.070881821691328922,4.9445366396485863e-05,0.23504367702225992,0.26554683715164495,1.9206353661136419e-07,9.8336777681268502e-06,0.029538812165417101,2.7291060851953807e-08,1.1509777092597299e-07,4.6294107898835838e-10,0.00070061577554542825,1.7077512828270096e-06,0.0019121895362864013,2.3599759876379456e-07,0.0005171023510191137,7.6078384828961001e-08,4.6823800920862491e-05,0.0001141019901423706,5.5219231644812287e-05
