Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806)
1.2326807201215473e-15,0.11224537200002802,0.0,0.0,0.0,0.0,0.99999999999950084,4.9607623573998997e-13,1.5977902945002269e-15,6.6923197843345855e-23,1.597790295288531e-15,4.8371805910130146e-23,1.4516054886031258e-23,2.522565356936929e-44,1.0150440257885357e-39,6.0330510760553823e-47,6.7207996102293081e-68,1.0568146504572141e-70,4.3382481526737001e-76,4.1358810560733096e-78,9.3222535103083259e-79,9.6404423916261453e-52,4.0039946894144417e-53,8.6134240572016837e-75,3.0652087722189507e-69,4.8769677734600496e-66,2.5560024974752595e-76,5.1273665540991129e-89,4.544271311894018e-145,1.7405140894704909e-121,5.9466637573976771e-127
2.465896690230121e-15,0.11224537200005606,0.0,0.0,0.0,0.0,0.99999999999900135,9.9236787570334376e-13,3.1962744416562148e-15,2.6777996284776413e-22,3.1962744448104629e-15,1.9355023426970071e-22,5.8083128636316373e-23,4.0384499046322154e-43,8.1234658090349245e-39,9.6568437179066385e-46,4.3040436292026751e-66,6.769554515592568e-69,5.5522292612048834e-74,5.298614584854271e-76,1.1943048459612869e-76,3.0867940246296059e-50,1.2820474642984327e-51,1.1032236568949284e-72,1.9629644479982819e-67,3.1231640747319143e-64,3.2737084125525766e-74,1.3134486599524921e-86,3.7276808427340637e-141,3.5686964098778525e-118,2.4385507339606685e-123
4.932328630447268e-15,0.11224537200011213,0.0,0.0,0.0,0.0,0.99999999999800226,1.984951155227011e-12,6.3932429344980872e-15,1.0712942190102548e-21,6.3932429471171733e-15,7.7432699690053752e-22,2.3237034444939722e-22,6.4633919422901453e-42,6.5000527771602347e-38,1.5454199537713737e-44,2.7554724468757716e-64,4.3344107345069859e-67,7.0955756670882262e-72,6.7852181996447806e-74,1.5293844590271538e-74,9.8806987555428522e-49,4.1037789558850323e-50,1.412584332098311e-70,1.2567228492207381e-65,1.9994334745974209e-62,4.1916654691480406e-72,3.363523511537365e-84,3.0554008669753378e-137,7.3128599349859604e-115,9.9938303006041721e-120
9.865192510881564e-15,0.11224537200022429,0.0,0.0,0.0,0.0,0.99999999999600409,3.9701177126621839e-12,1.2787180714301314e-14,4.2855256347895313e-21,1.2787180764782073e-14,3.0975602900921093e-21,9.2955709365398006e-22,1.0342909710607962e-40,5.2006094066266402e-37,2.4729572711653856e-43,1.7637982507112516e-62,2.7746220715564637e-65,9.0476337445035093e-70,8.6869706436389089e-72,1.9580383311958461e-72,3.1622924017059376e-47,1.3134030561880279e-48,1.8084176248022854e-68,8.0447928207808785e-64,1.2798305577776211e-60,5.3662324661038199e-70,8.6121024045898296e-82,2.5030673773249927e-133,1.4980779692346461e-111,4.0944360521083758e-116
1.9730920271750156e-14,0.11224537200044853,0.0,0.0,0.0,0.0,0.99999999999200839,7.9404508210838877e-12,2.5575059450384902e-14,1.7142800070882726e-20,2.5575059652318608e-14,1.2390747102459475e-20,3.7183802170039522e-21,1.6549792696963114e-39,4.1608025380518668e-36,3.9570410317634102e-42,1.1289419343898367e-60,1.775940746745004e-63,1.1489386074485147e-67,1.1120476098848361e-69,2.5065488835491377e-70,1.0120056752741322e-45,4.2031833887532305e-47,2.3150149370513831e-66,5.1497504210517458e-62,8.1915130380325349e-59,6.8694987848318506e-68,2.2049291301762424e-79,2.0495527374092921e-129,3.0683840332495101e-108,1.6771398147627482e-112
3.946237579348734e-14,0.11224537200089703,0.0,0.0,0.0,0.0,0.99999999998401679,1.5881117012132729e-11,5.1150829628454116e-14,6.8572595286947306e-20,5.115083043622497e-14,4.9564010865243425e-20,1.4873827800485466e-20,2.6480421218049907e-38,3.3289090426831978e-35,6.3317727234852137e-41,7.2257931961668038e-59,1.1366503163130876e-61,1.4475110050205134e-65,1.4234820771259975e-67,3.2085198138963451e-68,3.2385149264982167e-44,1.3450551149431528e-45,2.9634809041700792e-64,3.2968494500267186e-60,5.2427331534510327e-57,8.7937906090006131e-66,5.6451249592679528e-77,1.6769754898351869e-125,6.2839949976933506e-105,6.8685510800038591e-109
7.89252868369617e-14,0.11224537200179409,0.0,0.0,0.0,0.0,0.9999999999680329,3.1762449291052094e-11,1.0230242080814878e-13,2.7429317050050578e-19,1.0230242403942187e-13,1.9825817281583136e-19,5.9495951010743781e-20,4.2368774334757358e-37,2.6634596470159904e-34,1.0132072573754007e-39,4.6249564417094203e-57,7.274622091981548e-60,1.7961722187206818e-63,1.822072708939281e-65,4.1069392080159945e-66,1.0363283490304784e-42,4.3041671462124742e-44,3.7936994057568215e-62,2.1111546985062898e-58,3.3553681805742035e-55,1.1257533177820697e-63,1.4453247339899101e-74,1.3703022108946903e-121,1.2867994967391945e-101,2.8122226095420835e-105
1.5785110892391041e-13,0.11224537200358817,0.0,0.0,0.0,0.0,0.99999999993606581,6.35251134361776e-11,2.0460580646134841e-13,1.0971782553006762e-18,2.0460581938776156e-13,7.9303762539846765e-19,2.3798529117415052e-19,6.7788513093861716e-36,2.131261653326264e-33,1.6214962859486524e-38,2.9604588013611752e-55,4.6557395491348461e-58,2.1665660033411802e-61,2.3322442692432855e-63,5.2568586962856259e-64,3.3161802111537774e-41,1.3772888062327615e-42,4.856926561761557e-60,1.3525992528223497e-56,2.1473984703240332e-53,1.4413018705750534e-61,3.7008049589402958e-72,1.1168281001417688e-117,2.6345566947376561e-98,1.150894418059951e-101
3.157027530978079e-13,0.11224537200717635,0.0,0.0,0.0,0.0,0.99999999987213117,1.2705044007557529e-10,4.092133909396705e-13,4.3887241243719307e-18,4.0921344265549424e-13,3.1721657731213303e-18,9.5194579903590175e-19,1.0845526066104314e-34,1.7057844446718833e-32,2.5955362752073077e-37,1.8952883597417089e-53,3.9375773869910843e-56,3.2802812274286209e-59,3.9374800462380422e-61,8.8750339537035635e-62,1.061117605221472e-39,4.4069761914018778e-41,6.2193105575532717e-58,8.6752006193842031e-55,1.3742677895658211e-51,1.8457040179261691e-59,9.4778792273361204e-70,4.7863818106304794e-113,8.5658188486483752e-95,7.4749139545398968e-98
6.314060414456028e-13,0.11224537201435272,0.0,0.0,0.0,0.0,0.99999999974426201,2.5410108675095437e-10,8.1843181255746049e-13,1.7554918356227894e-17,8.1843201950133549e-13,1.268873686114275e-17,3.8078057454974598e-18,1.7350688688412281e-33,1.3658616645249985e-31,4.1564932977876697e-36,1.2137364991624361e-51,2.5304557782964844e-54,3.4990975468592879e-57,5.0701877268896689e-59,1.1428111969159192e-59,3.3951681260839726e-38,1.4099997945320922e-39,7.9669139290990165e-56,5.5758470865085208e-53,8.7943905895314097e-50,2.3646279522254568e-57,2.4282733775984331e-67,3.8453069196735931e-109,1.7523460249787652e-91,3.0518649308953718e-94
