Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309)
6.8245487322247236e-06,0.11294345183735617,0.0,0.0,0.0,0.0,0.98713088814887751,0.00066544024196731814,3.7661096298807481e-05,0.0010895413927056177,9.7862587219725854e-05,0.0057634986240736761,0.0052060673388356436,7.6525638107586393e-09,3.931794807872146e-08,7.7420056299999772e-06,1.0990591811807967e-11,6.961048565173359e-12,2.7998390817940022e-14,8.1962020572870847e-10,1.0160813230231381e-11,1.2354613040764973e-06,3.7022320088842856e-10,5.9236253220498478e-09,9.0320003541075783e-12,7.8331496336034938e-09,1.0196952603577241e-09,1.2908960454394763e-10
6.888401652326854e-06,0.11295193181335346,0.0,0.0,0.0,0.0,0.98697510648505316,0.00066532864957037055,3.7740262629898102e-05,0.0011029735477616292,9.7887738775103586e-05,0.0058376812062125765,0.0052740094794956763,7.7499569958929054e-09,3.9892638592336806e-08,7.9422585505624307e-06,1.1274072606819097e-11,7.1553215369031564e-12,2.8779786206653239e-14,8.5274207027283913e-10,1.0494146944494567e-11,1.2660069636363354e-06,3.7860778580065257e-10,6.1468343762673169e-09,9.281096038201264e-12,8.1065829689118416e-09,1.0635804396801335e-09,1.3581070660078327e-10
6.952254572428985e-06,0.1129604130228531,0.0,0.0,0.0,0.0,0.98681932797287042,0.0006652169980531095,3.7818769072207946e-05,0.0011164043469468086,9.7910986466898797e-05,0.0059118591869832407,0.0053419540778071066,7.8473145000319822e-09,4.0468458305326098e-08,8.1450942126256252e-06,1.1561177567868718e-11,7.3524938468563333e-12,2.9572843175677771e-14,8.8677108430109877e-10,1.0834343749504725e-11,1.2969256732412382e-06,3.870802105319226e-10,6.3755786703665383e-09,9.5340101829484195e-12,8.3858210806666275e-09,1.1087870599106401e-09,1.4279206435049008e-10
7.016107492531116e-06,0.11296889533238576,0.0,0.0,0.0,0.0,0.98666355507230163,0.0006651054106517558,3.7896650165664292e-05,0.0011298336687368183,9.793243860542128e-05,0.0059860312565024392,0.005409899842097967,7.9446358463288714e-09,4.104540903855591e-08,8.3505099564996707e-06,1.1851903809022995e-11,7.5525731244243087e-12,3.0377592411124684e-14,9.2172020949383764e-10,1.1181468032783159e-11,1.3282169679706437e-06,3.9564034357217426e-10,6.6099224954889236e-09,9.7907584440428998e-12,8.6709013364444349e-09,1.1553370239642215e-09,1.5004021382785964e-10
7.079960412633247e-06,0.1129773786148323,0.0,0.0,0.0,0.0,0.98650779010469192,0.00066499399707609466,3.7973938556165922e-05,0.0011432614009770691,9.7952197384209712e-05,0.0060601961815366385,0.0054778455548198613,8.0419210506218734e-09,4.1623492878490804e-08,8.5585031463920328e-06,1.21462483967878e-11,7.7555671777906297e-12,3.1194065318309513e-14,9.576024286844213e-10,1.1535584351865861e-11,1.35988038280247e-06,4.0428805540073895e-10,6.8499299974830657e-09,1.0051356523745295e-11,8.9618605433897603e-09,1.2032522571849444e-09,1.5756176136654981e-10
7.143813332735378e-06,0.11298586275038053,0.0,0.0,0.0,0.0,0.98635203525921233,0.00066488285445585752,3.8050665079095648e-05,0.0011566874403264051,9.7970359170291516e-05,0.0061343528018036183,0.0055457900690243879,8.1391698503526549e-09,4.2202712058881156e-08,8.769071170837319e-06,1.2444209943605008e-11,7.9614838465862526e-12,3.2022293430295972e-14,9.9443074632623538e-10,1.1896757442304977e-11,1.3919154526744518e-06,4.1302321857239763e-10,7.0956651775378711e-09,1.0315820089049919e-11,9.2587349555018325e-09,1.2525547053321734e-09,1.6536338311085705e-10
7.2076662528375085e-06,0.11299434762675542,0.0,0.0,0.0,0.0,0.9861962926028075,0.00066477206877500479,3.8126858880121857e-05,0.0011701116914100576,9.7987014961145274e-05,0.0062085000242903176,0.0056137323029372193,8.2363816161787306e-09,4.2783068808629805e-08,8.9822114432448623e-06,1.274578622143862e-11,8.1703309151019751e-12,3.2862308056742569e-14,1.0322181888603109e-09,1.226505220357888e-11,1.4243217124857743e-06,4.2184570766926349e-10,7.3471918936217132e-09,1.0584164760894721e-11,9.5615602851433204e-09,1.3032663313530214e-09,1.7345182422610615e-10
7.271519172939639e-06,0.11300283313593634,0.0,0.0,0.0,0.0,0.98604056408528928,0.0006646617155747739,3.8202547505517253e-05,0.001183534066398781,9.8002250581919988e-05,0.0062826368203387738,0.0056816712372037932,8.333556395811741e-09,4.3364565654466672e-08,9.1979214025376372e-06,1.3050972651738566e-11,8.3821162468989884e-12,3.3714140824201055e-14,1.0709778046439227e-09,1.2640533686492009e-11,1.4570986970775243e-06,4.3075540189197692e-10,7.604573862142161e-09,1.0856406297642603e-11,9.8703717111787548e-09,1.3554091137339987e-09,1.8183389852373811e-10
7.33537209304177e-06,0.11301131917841534,0.0,0.0,0.0,0.0,0.98588485154730143,0.00066455186105715569,3.827775699820674e-05,0.0011969544843454876,9.8016147056960947e-05,0.006356762221114952,0.0057496059105503639,8.4306944298157017e-09,4.3947205214507341e-08,9.4161985127121237e-06,1.3359768032193084e-11,8.5968480493569327e-12,3.4577824745196081e-14,1.1107226646438839e-09,1.3023267138301598e-11,1.4902459412031696e-06,4.3975218003644103e-10,7.8678746574467781e-09,1.1132560411438964e-11,1.0185203886871256e-08,1.4090050436567309e-09,1.905164876742002e-10
7.399225013143901e-06,0.11301980565740692,0.0,0.0,0.0,0.0,0.98572915672462069,0.00066444256264083768,3.835251195848727e-05,0.0012103728708456026,9.8028780789255682e-05,0.0064308753151742695,0.0058175354174611485,8.5277942538894447e-09,4.4530990037413743e-08,9.6370402642858556e-06,1.3672172913813398e-11,8.8145341147414991e-12,3.5453391163781173e-14,1.1514658620474177e-09,1.3413317959252467e-11,1.523762979775577e-06,4.4883592306582313e-10,8.137157714337051e-09,1.1412642632751725e-11,1.0506090948878131e-08,1.4640761235608691e-09,1.9950654087848518e-10
