Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52)
9.977651458821034e-16,0.11224537200002269,0.0,0.0,0.0,0.0,0.99999999999959588,4.0153760513742335e-13,1.2932952668147761e-15,4.3846225405698979e-23,1.2932952673312471e-15,3.1691867614011124e-23,9.5105194220656334e-24,1.0828132017182608e-44,5.3829212443496816e-40,2.5896895482301078e-47,1.7636784262678923e-68,2.972114950043447e-71,9.8774090901690694e-77,9.4148327881966682e-79,2.1220969162704517e-79
1.995963537593943e-15,0.11224537200004539,0.0,0.0,0.0,0.0,0.99999999999919142,8.0324956433584112e-13,2.5871521467848075e-15,1.7544201396154512e-22,2.5871521488513671e-15,1.2680875284646725e-22,3.8054466273015494e-23,1.7335080779791326e-43,4.3079852846429377e-39,4.1452012669120907e-46,1.1294724229200094e-66,1.9038246505234897e-69,1.2643872695447087e-74,1.2061657149457191e-76,2.7186893057261859e-77
3.992360321017622e-15,0.11224537200009072,0.0,0.0,0.0,0.0,0.99999999999838318,1.606673482468617e-12,5.1748660367961759e-15,7.0188229670776284e-22,5.1748660450637797e-15,5.0731759885880835e-22,1.5224264914934396e-22,2.7744172238757928e-42,3.4470624602500806e-38,6.633708275996235e-45,7.2309445517992804e-65,1.2189813822820585e-67,1.6164714625408043e-72,1.5445736442451636e-74,3.4814584120055225e-75
7.985153887864979e-15,0.11224537200018152,0.0,0.0,0.0,0.0,0.9999999999967657,3.2135213176779238e-12,1.035029433710407e-14,2.807757684122963e-21,1.0350294370177336e-14,2.0294356695885816e-21,6.0902019510768082e-22,4.4397062097577561e-41,2.7579433324066005e-37,1.0615130441564163e-43,4.6285753203688082e-63,7.8031712571205485e-66,2.0627611228270287e-70,1.9774861313516655e-72,4.457240035036548e-73
1.5970741021559694e-14,0.11224537200036304,0.0,0.0,0.0,0.0,0.9999999999935314,6.4272169838715662e-12,2.0701153018860077e-14,1.123148774172176e-20,2.070115315115982e-14,8.1180739379913834e-21,2.4361801959108358e-21,7.1040252403442688e-40,2.2065098463396488e-36,1.6985448332177578e-42,2.9625706370043892e-61,4.9945492580138208e-64,2.623436177514982e-68,2.5314479228828666e-70,5.7058656720700106e-71
3.1941915288949125e-14,0.11224537200072607,0.0,0.0,0.0,0.0,0.99999999998706268,1.2854608299358963e-11,4.1402878706929513e-14,4.4926864948611612e-20,4.140287923614965e-14,3.2472963879551086e-20,9.744921337573758e-21,1.1366786537665519e-38,1.7653304769222262e-35,2.7178610850743406e-41,1.8961813497457392e-59,3.1966533070373927e-62,3.3150238173321675e-66,3.2403986775092701e-68,7.3038346183416871e-69
6.388426382372799e-14,0.11224537200145218,0.0,0.0,0.0,0.0,0.99999999997412503,2.5709390862734193e-11,8.2806363381270581e-14,1.7970928741410951e-19,8.2806365498255864e-14,1.2989323655750311e-19,3.8980100217221101e-20,1.8186975048629755e-37,1.4124102640335263e-34,4.3490177931116085e-40,1.2136582003969664e-57,2.0458789475574568e-60,4.1370127404979918e-64,4.147753867938475e-66,9.3490038635021188e-67
1.277689608932857e-13,0.11224537200290437,0.0,0.0,0.0,0.0,0.99999999994824984,5.1418955719086375e-11,1.6561346592254157e-13,7.1884080203157292e-19,1.6561347439119123e-13,5.1957606649875071e-19,1.559213406507153e-19,2.909874028188083e-36,1.1301415114448095e-33,6.9597039503468871e-39,7.7684889582524874e-56,1.3093537268441579e-58,5.0427403201997388e-62,5.3090905101636659e-64,1.196664057422717e-64
2.5553835503240114e-13,0.11224537200580875,0.0,0.0,0.0,0.0,0.99999999989649935,1.0283808435019746e-10,3.3122820377367905e-13,2.8753704898491323e-18,3.3122823765368811e-13,2.0783133719624392e-18,6.2368812252825912e-19,4.6556006759433818e-35,9.0444644297328764e-33,1.1139501678530073e-37,4.9731367340222338e-54,1.1073376209301041e-56,7.7729760832344338e-60,8.9628716061606748e-62,2.0202206046214252e-62
5.11077143310632e-13,0.1122453720116175,0.0,0.0,0.0,0.0,0.99999999979299858,2.0567633728604496e-10,6.6245981053625887e-13,1.1501496338508971e-17,6.6245994609906062e-13,8.313294623000666e-18,2.4947650528748117e-18,7.4482776000013621e-34,7.240871041792722e-32,1.7835838751573608e-36,3.1844522817287736e-52,7.1154250729280993e-55,8.5209373335316154e-58,1.1539958063633928e-59,2.6010869619684646e-60
1e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999959497055,4.0243694850601019e-10,1.2962140375040257e-12,4.451027514528375e-17,1.2962145624519821e-12,3.2172312725706433e-17,9.654701174924793e-18,1.1430800139052303e-32,5.5810766118577266e-31,2.7416209046466018e-35,1.9530880342495344e-50,4.3631643681323453e-53,8.0549415577119825e-56,1.4148121484332378e-57,3.1889482025148755e-58
1.0221547198670938e-12,0.11224537202323494,0.0,0.0,0.0,0.0,0.99999999958599728,4.1135282585222894e-10,1.3249315481900212e-12,4.6006012637482627e-17,1.3249320907823131e-12,3.3253444145689302e-17,9.9791416809546985e-18,1.1915017068782209e-32,5.8011629515668533e-31,2.8577708498373588e-35,2.0401459641570551e-50,4.5576496136204063e-53,8.4160766151685669e-56,1.4783990759952197e-57,3.3322714069866475e-58
2.0443098729800174e-12,0.11224537204646991,0.0,0.0,0.0,0.0,0.99999999917199411,8.2270573376245381e-10,2.6499091191110628e-12,1.8402409331851055e-16,2.6499112922067363e-12,1.3301577492095026e-16,3.9917180424859819e-17,1.9056872262574291e-31,4.654470338216284e-30,4.5853445803832624e-34,1.3083713476628804e-48,2.9231579718302335e-51,7.4023151681520041e-54,1.8963975958960307e-55,4.2743902013023262e-56
3.066465026092941e-12,0.1122453720697049,0.0,0.0,0.0,0.0,0.99999999875799084,1.2340585724078252e-09,3.9749207846076025e-12,3.9105121216503925e-16,3.9749254064393532e-12,2.8266142103388715e-16,8.4824899076386389e-17,7.2641709101869986e-31,1.3334727614857725e-29,1.6903300705849078e-33,7.3023435518867282e-48,1.4513803162121809e-50,3.9359087236931433e-53,1.12388232497651e-54,2.5331699320185977e-55
4.088620179205864e-12,0.11224537209293983,0.0,0.0,0.0,0.0,0.99999999834398745,1.6454113417882069e-09,5.2999665437787977e-12,6.6708735926670216e-16,5.2999744343675234e-12,4.8219166606354252e-16,1.4470269206698426e-16,1.9541947910946167e-30,2.8187020988996311e-29,4.2941064497786941e-33,2.7561527945822438e-47,6.1490475058038449e-50,1.6973605273051132e-52,5.0819789296702431e-54,1.1454486942652912e-54
