Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14)
1.1372571279297398e-11,0.11224537225851411,0.0,0.0,0.0,0.0,0.9999999953937655,4.5767386857086993e-09,1.4743352481954886e-11,4.6879829729632293e-15,1.4743408248121005e-11,3.3888483022796382e-15,1.0169737327409155e-15,8.7846145333907803e-29
1.4296946839653296e-11,0.11224537232498931,0.0,0.0,0.0,0.0,0.99999999420930274,5.7536130964039263e-09,1.8535133638776547e-11,7.1754256790054475e-15,1.8535219151483738e-11,5.1870837900780207e-15,1.5566145969802334e-15,1.9664148043960558e-28
1.7221322400009193e-11,0.11224537239146451,0.0,0.0,0.0,0.0,0.99999999302483866,6.9304869492428778e-09,2.2327189294309177e-11,1.0218628514962524e-14,2.2327311302465199e-11,7.3871665565244724e-15,2.2168482210356865e-15,3.8840179590302689e-28
2.307007352072099e-11,0.11224537252441509,0.0,0.0,0.0,0.0,0.99999999065590761,9.28423294997843e-09,2.9912139455023929e-11,1.8003629933788003e-14,2.9912355308396222e-11,1.3015680890748838e-14,3.9059392377129611e-15,1.238167118397511e-27
2.8918824641432784e-11,0.11224537265736577,0.0,0.0,0.0,0.0,0.99999998828697256,1.1637976684510326e-08,3.7498204485848776e-11,2.8046364177662948e-14,3.7498542120498183e-11,2.0277043752013899e-14,6.0850443384848277e-15,2.9836814845793082e-27
4.061632688285638e-11,0.11224537292326786,0.0,0.0,0.0,0.0,0.99999998354908803,1.6345457350321477e-08,5.2673680512767028e-11,5.4909526323938789e-14,5.2674347299962088e-11,3.9702812730132214e-14,1.1914655970643415e-14,1.1869724922343982e-26
6.401133136570356e-11,0.11224537345507415,0.0,0.0,0.0,0.0,0.99999997407326735,2.5760391467089221e-08,8.3038011340215328e-11,1.3574756482079656e-13,8.3039689884745339e-11,9.8175208863188537e-14,2.9462154187842977e-14,7.7550961891115193e-26
9.999999999999999e-11,0.11224537451869551,0.0,0.0,0.0,0.0,0.99999995949642195,4.0243367387586983e-08,1.2978243306161756e-10,3.3067883535211704e-13,1.2978664631668632e-10,2.3924304874717563e-13,7.1797003537244794e-14,5.215940956909771e-25
1.1080134033139794e-10,0.11224537451869551,0.0,0.0,0.0,0.0,0.99999995512141593,4.459015083016991e-08,1.4382014512027819e-10,4.0587422832269787e-13,1.4382535047695777e-10,2.9367079782411812e-13,8.8131005323689396e-14,7.3598007020241901e-25
1.575913492970923e-10,0.11224537558232865,0.0,0.0,0.0,0.0,0.99999993616928429,6.3419765023566206e-08,2.0467351663231505e-10,8.2060124857630188e-13,2.046843694081276e-10,5.9398455919072802e-13,1.782575469990382e-13,2.7697357077415664e-24
2.0438135826278666e-10,0.11224537664597352,0.0,0.0,0.0,0.0,0.99999991721687187,8.2249234034357919e-08,2.6559804444091883e-10,1.3799282649319033e-12,2.6561682742526939e-10,9.9923365711536165e-13,2.9987803248142864e-13,7.3751100068149095e-24
2.5117136722848103e-10,0.11224537770963018,0.0,0.0,0.0,0.0,0.99999989826417945,1.0107855784957057e-07,3.2659364434355108e-10,2.0838545240340631e-12,3.2662280763821015e-10,1.5095388032611042e-12,4.5302989393062555e-13,1.6145175290586927e-23
3.4475138515986976e-10,0.11224537983697887,0.0,0.0,0.0,0.0,0.99999986035795174,1.3873676984571972e-07,4.4879774891087129e-10,3.9255014093583311e-12,4.4885564154872184e-10,2.8457636590747395e-12,8.5406663552442531e-13,5.4168503660429625e-23
4.383314030912585e-10,0.11224538196437485,0.0,0.0,0.0,0.0,0.99999982245059948,1.7639440090916769e-07,5.7128515748896529e-10,6.3455346548060399e-12,5.7138353400281369e-10,4.6036240181979416e-12,1.3816684340066977e-12,1.3604703255403176e-22
5.319114210226472e-10,0.11224538409181815,0.0,0.0,0.0,0.0,0.99999978454212246,2.1405145093178744e-07,6.9405516446823138e-10,9.3439464856139385e-12,6.9420717994950256e-10,6.7841334274294081e-12,2.0361524442738739e-12,2.8715845442856665e-22
6.25491438954036e-10,0.11224538621930896,0.0,0.0,0.0,0.0,0.99999974663251934,2.5170791980650358e-07,8.1710707379835719e-10,1.2920729057551773e-11,8.1732726472155532e-10,9.3882939501108745e-12,2.8178339602748977e-12,5.389882914456773e-22
8.126514748168134e-10,0.11224539047443344,0.0,0.0,0.0,0.0,0.99999967080992835,3.2701911370148551e-07,1.064053954372027e-09,2.1809376259086945e-11,1.0644593546053728e-09,1.5871393337521393e-11,4.7640050928106736e-12,1.5057236432151108e-21
9.810955070933133e-10,0.11224539430420884,0.0,0.0,0.0,0.0,0.99999960256573261,3.9479719964189466e-07,1.2872635676022097e-09,3.1787110653269979e-11,1.2878986374654245e-09,2.3164740996302868e-11,6.9536507411934644e-12,3.1330559077184657e-21
9.999999999999999e-10,0.11224539813413971,0.0,0.0,0.0,0.0,0.99999959490645007,4.0240382433041956e-07,1.3123708395995725e-09,3.3023863158588482e-11,1.3130357637262462e-09,2.406977536850346e-11,7.2253817292459595e-12,3.3738432733838828e-21
1.149539539369813e-09,0.11224539813413971,0.0,0.0,0.0,0.0,0.9999995343178697,4.6257340105002423e-07,1.51137620603743e-09,4.3638648486739709e-11,1.5123085589965603e-09,3.1845699753728794e-11,9.5601990365712759e-12,5.7776879053831875e-21
1.3179835716463128e-09,0.11224540196422647,0.0,0.0,0.0,0.0,0.99999946606633261,5.3034771731975971e-07,1.7363880384414459e-09,5.736394567745672e-11,1.7376928897255058e-09,4.1919857453808588e-11,1.258545898281756e-11,9.7676857341784262e-21
1.4864276039228125e-09,0.11224540579446986,0.0,0.0,0.0,0.0,0.99999939781111458,5.981201478448825e-07,1.9622952641477567e-09,7.2962958163980531e-11,1.964055369516758e-09,5.3392778875911939e-11,1.6031247124886925e-11,1.5466376120557705e-20
1.6548716361993123e-09,0.11224540962487045,0.0,0.0,0.0,0.0,0.99999932955220905,6.6589069201901257e-07,2.1890941121606775e-09,9.0435641903207633e-11,2.1913997084682562e-09,6.6270006667871738e-11,1.9899387585746236e-11,2.3268043167139786e-20
1.9917597007523117e-09,0.11224541728614537,0.0,0.0,0.0,0.0,0.99999919302330953,8.0142611888861808e-07,2.645351730985021e-09,1.3100184711982512e-10,2.6490486640185769e-09,9.6259444923022128e-11,2.8910054893209981e-11,4.6878194642918559e-20
2.3286477653053112e-09,0.11224542494805596,0.0,0.0,0.0,0.0,0.9999990564795801,9.3695399307687868e-07,3.1051313140876473e-09,1.7906220962337841e-10,3.1106688484867339e-09,1.3193206409326855e-10,3.9632192166282033e-11,8.4246398233081223e-20
