Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30)
7.880683897876379e-07,0.11226933691868872,0.0,0.0,0.0,0.0,0.99956731140945609,0.00028670268694823067,5.3797813668080721e-06,2.069011484914076e-05,1.4527147928433998e-05,6.0152004453854036e-05,4.5235632747171949e-05,3.7041303260010866e-11,7.6923879802241131e-11,1.1082834556952602e-09,7.2661716764486649e-16,1.4538488788165312e-16,5.8475719932794715e-19,9.4957872569358896e-16
8.068692944925619e-07,0.11227013820880662,0.0,0.0,0.0,0.0,0.99955273070489525,0.00029258022779839958,5.5851486960193688e-06,2.171034985369077e-05,1.513361866539581e-05,6.39426666238798e-05,4.8315913750651004e-05,4.0188688778954106e-11,8.4416149244461531e-11,1.245109945916716e-09,8.3316014813773427e-16,1.6983616644479689e-16,6.8310355086711085e-19,1.1359107487527527e-15
8.256701991974859e-07,0.11227095306744983,0.0,0.0,0.0,0.0,0.99953789829231243,0.00029840460050586557,5.7927659579756599e-06,2.2756504968799455e-05,1.5747720125044157e-05,6.7875671166312695e-05,5.1522913931471354e-05,4.3515984581367593e-11,9.2433138772106772e-11,1.3950804699205151e-09,9.5220645617470519e-16,1.976684919808706e-16,7.9504894266658826e-19,1.3531653232868031e-15
8.4447110390241e-07,0.11227178161515532,0.0,0.0,0.0,0.0,0.99952281187616587,0.00030417542781111982,6.0025348645842503e-06,2.382866683379297e-05,1.636912017217426e-05,7.1952488181104595e-05,5.4858178842844257e-05,4.7028122260596434e-11,1.0099656650895405e-10,1.5591009486448257e-09,1.0848586536704521e-15,2.2924879915454838e-16,9.2206923823946699e-19,1.6055605411087232e-15
8.63272008607334e-07,0.11227262396571798,0.0,0.0,0.0,0.0,0.9995074692832735,0.00030989235230592432,6.2143573567225319e-06,2.4926918676624199e-05,1.6997487381137598e-05,7.6174517111133149e-05,5.8323184919465405e-05,5.0729950592867997e-11,1.1012825442161335e-10,1.7381138483348423e-09,1.2322827274920101e-15,2.6497252769995142e-16,1.0657549526743973e-18,1.897765666403838e-15
8.82072913312258e-07,0.11227348022623762,0.0,0.0,0.0,0.0,0.99949186846219229,0.00031555503657566927,6.4281356909667382e-06,2.6051340072830609e-05,1.7632491330532608e-05,8.0543086903586233e-05,6.1919339655615538e-05,5.4626229383543407e-11,1.1985009695579265e-10,1.9330982951315604e-09,1.3957093549529437e-15,3.0526482887330066e-16,1.2278161051741416e-18,2.2349355806730135e-15
9.008738180171821e-07,0.11227435049717213,0.0,0.0,0.0,0.0,0.99947600748249221,0.00032116316331869766,6.6437725241577401e-06,2.7202006714808056e-05,1.8273802890894946e-05,8.5059456234919215e-05,6.5647981843985364e-05,5.8721623569105979e-11,1.3018402963138223e-10,2.1450701348441577e-09,1.5764350652100677e-15,3.5058175337995048e-16,1.4100869970818505e-18,2.6227466414223897e-15
9.196747227221061e-07,0.11227523487239464,0.0,0.0,0.0,0.0,0.99945988453393364,0.00032671643544262278,6.8611709957078497e-06,2.8378990191656932e-05,1.8921094505031487e-05,8.9724813797894371e-05,6.9510381873735545e-05,6.302069758198015e-11,1.4115199768420129e-10,2.3750819379376646e-09,1.7758232919827245e-15,4.0141141629164588e-16,1.6145308973590936e-18,3.0674339295219691e-15
9.384756274270302e-07,0.1122761334392568,0.0,0.0,0.0,0.0,0.9994434979255461,0.00033221457613771832,7.0802348075566778e-06,2.958235777982533e-05,1.9574040460669712e-05,9.4540278649133565e-05,7.3507742086229827e-05,6.7527909984456986e-11,1.5277592483997122e-10,2.6242229499209715e-09,1.9953053134320752e-15,4.5827513450738596e-16,1.8432446176306593e-18,3.5758298548496159e-15
9.572765321319543e-07,0.11227704627865563,0.0,0.0,0.0,0.0,0.99942684608461752,0.00033765732892751077,7.3008683016911619e-06,3.0812172244743793e-05,2.0232317155119115e-05,9.9506900615544129e-05,7.7641197186813574e-05,7.2247608377194719e-11,1.6507768230356666e-10,2.8936189874696463e-09,2.2363810754690189e-15,5.2172853239561484e-16,2.0984629592503692e-18,4.1554040845919843e-15
