Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
1.189414998425313e-15,0.11224537200002706,0.0,0.0,0.0,0.0,0.99999999999951827,4.7866459551456126e-13,1.5417102902822997e-15,6.2307793996573222e-23,1.5417102910162322e-15,4.5035811996764565e-23,1.3514948690574136e-23,2.1866225430474102e-44,9.118712199395617e-40,5.2295974598162663e-47,5.4239781097139549e-68,8.5289589975438013e-71,3.3783908822484305e-76,3.2206840124997387e-78,7.2593998782639911e-79,8.0632679850042357e-52,3.3489425424857872e-53,6.7074104295411337e-75,2.4737564754604406e-69,3.9359263424493258e-66,1.9904044321755571e-76,3.8526245870439091e-89,2.8558932989844493e-145
2.37934646015867e-15,0.11224537200005409,0.0,0.0,0.0,0.0,0.99999999999903633,9.5753703484480383e-13,3.0840900778088871e-15,2.4931233562156913e-22,3.0840900807455777e-15,1.8020191293387349e-22,5.4077399746037603e-23,3.5006291231072626e-43,7.2977659800103573e-39,8.3707892880384951e-46,3.4735504408266508e-66,5.4633283890044984e-69,4.3239272404494202e-74,4.1261253927129886e-76,9.3002584987456868e-77,2.5817951959400714e-50,1.0723049669658236e-51,8.5909773219523074e-73,1.58419654882615e-67,2.5205300722711962e-64,2.5492944303581288e-74,9.8690507008032691e-87,2.3427054056125905e-141
4.759209383625384e-15,0.1122453720001082,0.0,0.0,0.0,0.0,0.99999999999807232,1.9152819131300452e-12,6.1688498377002268e-15,9.9741168473126914e-22,6.1688498494489358e-15,7.2092501685938659e-22,2.1634481965618257e-22,5.6026295696569479e-42,5.8393613496861949e-38,1.3396076471983109e-44,2.2237857545611677e-64,3.4980604258764856e-67,5.526236814626365e-72,5.2837704018689207e-74,1.1909582205300758e-74,8.264218873554747e-49,3.4324023736669908e-50,1.1000015545999688e-70,1.014228077775248e-65,1.6136303530742442e-62,3.2641229619303616e-72,2.5272991498610534e-84,1.9202139524019012e-137
9.518935230558811e-15,0.1122453720002164,0.0,0.0,0.0,0.0,0.99999999999614431,3.8307716681995495e-12,1.2338370096835471e-14,3.9899714453471205e-21,1.2338370143834409e-14,2.883934962533185e-21,8.6544977049600809e-22,8.965493090055101e-41,4.6719962982975094e-37,2.1436185515338977e-43,1.4234611920030615e-62,2.2392425299200153e-65,7.0475511641347167e-70,6.7646997678668083e-72,1.5247586187556241e-72,2.6449423217376994e-47,1.0985309466591314e-48,1.4082425422149001e-68,6.4924701350534254e-64,1.0328793544149983e-60,4.1787766949538672e-70,6.4709967096659748e-82,1.5731092763871041e-133
1.9038386924425668e-14,0.11224537200043277,0.0,0.0,0.0,0.0,0.99999999999228895,7.6617511723346557e-12,2.4677413572515512e-14,1.5960535207825612e-20,2.4677413760521119e-14,1.1536210842112358e-20,3.4619404348351887e-21,1.4345776651257451e-39,3.7378763273250044e-36,3.4300545859465908e-42,9.1110417029976548e-61,1.4332629167413404e-63,8.9520259918441695e-68,8.6597159787841243e-70,1.9518937897093272e-70,8.4644196685848503e-46,3.5155452491173959e-47,1.8027361031534566e-66,4.1560353760426828e-62,6.6109108299397021e-59,5.3493905275903162e-68,1.6567472156028406e-79,1.2881169533756582e-129
3.8077290312159375e-14,0.11224537200086555,0.0,0.0,0.0,0.0,0.99999999998457767,1.532371015658923e-11,4.9355512353507956e-14,6.3843439631057448e-20,4.9355513105563288e-14,4.6145794849716755e-20,1.3848047362803944e-20,2.2953901640239995e-38,2.990535005965179e-35,5.4885163518166382e-41,5.8315146117580625e-59,9.1732750615490983e-62,1.1284525391388237e-65,1.1084916244384728e-67,2.4985317759961783e-68,2.7086959571696999e-44,1.1250053631429895e-45,2.3077021346646506e-64,2.660652068296292e-60,4.2311169359971808e-57,6.8478543924170013e-66,4.2416459503535936e-77,1.054004741495036e-125
7.615509708762679e-14,0.11224537200173114,0.0,0.0,0.0,0.0,0.99999999996915478,3.0647628029035829e-11,9.8711757233975635e-14,2.5537635553692213e-19,9.8711760242368528e-14,1.845851582228024e-19,5.5392784005140593e-20,3.6726350002725731e-37,2.3927171451512073e-34,8.7826640535380736e-40,3.732521426704484e-57,5.8709462627897768e-60,1.4017216453889458e-63,1.418881885780603e-65,3.1981480142986153e-66,8.6678616055567904e-43,3.6000120915817057e-44,2.9541942958465979e-62,1.7037303822100144e-58,2.7079314181819523e-55,8.7663724891661885e-64,1.0859873660280165e-74,8.6133350766601903e-122
1.5231071063856164e-13,0.11224537200346224,0.0,0.0,0.0,0.0,0.99999999993830979,6.1295463389678876e-11,1.974244362684699e-13,1.0215106113166721e-18,1.9742444830323012e-13,7.3834519731217814e-19,2.2157251154962034e-19,5.876090251690186e-36,1.9146022707828821e-33,1.4055315757347224e-38,2.3891935294926453e-55,3.7573880135926357e-58,1.6939992907483914e-61,1.8161607158864213e-63,4.0936084564312455e-64,2.7736597260272248e-41,1.1519681894899551e-42,3.782114887142222e-60,1.0915249325105167e-56,1.7330477463838081e-53,1.1223497437478779e-61,2.7806895323020596e-72,7.0213225259278174e-118
3.0462193774043135e-13,0.11224537200692448,0.0,0.0,0.0,0.0,0.99999999987661925,1.2259113257396387e-10,3.9485055142871242e-13,4.0860527845915874e-18,3.9485059957689497e-13,2.9533947721405968e-18,8.8629428859642915e-19,9.4012139226112315e-35,1.5323538717679644e-32,2.2498061237328573e-37,1.5295472553307565e-53,3.1777743141255584e-56,2.5730561387596044e-59,3.066162745698812e-61,6.9110913883794642e-62,8.8752278524067868e-40,3.6860179695121781e-41,4.8429447276002309e-58,7.0002180517684591e-55,1.1090983886359365e-51,1.4372372975621387e-59,7.1213349650546343e-70,3.0101359186456112e-113
6.092443919441707e-13,0.11224537201384899,0.0,0.0,0.0,0.0,0.99999999975323783,2.4518246479452678e-10,7.8970581009036661e-13,1.6344231504749943e-17,7.8970600275549461e-13,1.1813645886343353e-17,3.5451975699495636e-18,1.5040142665547675e-33,1.2269529190143222e-31,3.6027305323238403e-36,9.7949590218801722e-52,2.0421293374765973e-54,2.7579275557076282e-57,3.9481302023990089e-59,8.8990107649320789e-60,2.8397436984116373e-38,1.1793381370293574e-39,6.203625807516812e-56,4.4986103818633958e-53,7.0975113097933394e-50,1.8412619757952503e-57,1.8244657825865731e-67,2.41990647013576e-109
1e-12,0.11224537202769788,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243694521953321e-10,1.2962156592997261e-12,4.7792693422632238e-17,1.2962162230482639e-12,3.4544929392325188e-17,1.036670841201859e-17,1.5969869577171992e-32,6.746491936453712e-31,3.832567083259161e-35,4.0605627443156188e-50,8.4648265359089317e-53,1.7076647001843129e-55,3.2590448142733012e-57,7.3457860435879923e-58,5.9287755910245152e-37,2.4619962098169239e-38,5.1228123696494334e-54,1.8778786310881984e-51,2.9382484103087038e-48,1.5208276458712733e-55,3.0067750264637109e-65,1.225799468181271e-105
1.2184893003516495e-12,0.11224537202769788,0.0,0.0,0.0,0.0,0.99999999950647611,4.9036510464360401e-10,1.5794284405875813e-12,6.5376964253478806e-17,1.5794292118257951e-12,4.7255027792229909e-17,1.418092655838495e-17,2.4058389716756055e-32,9.8327181944345564e-31,5.7740852022614692e-35,6.2762406709964195e-50,1.3083712737360411e-52,2.647077165021086e-55,5.0592497624304541e-57,1.1403391958781352e-57,9.0850416659367574e-37,3.7726685131334077e-38,7.9525233422423014e-54,2.9027325233866992e-51,4.5414718155061225e-48,2.3608964793962504e-55,4.6777987962607282e-65,1.9110646064256769e-105
