Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
1.0902697459782814e-05,0.11348469215922549,0.0,0.0,0.0,0.0,0.977239078567678,0.00065945516076279845,4.2124276451380924e-05,0.0019426740156541368,9.7909469447142266e-05,0.010465411479296777,0.0095236304157760229,1.3791297133324053e-08,7.837583804452632e-08,2.5621098033168576e-05,3.6268484039372096e-11,2.5527112613723413e-11,1.0267392220996901e-13,5.3073197215781256e-09,4.7983995334869878e-11,3.9159848327139593e-06,1.0772656828172526e-09,3.3867515191505557e-08,3.3239589830259031e-11,3.8197031330065262e-08,7.3814564260211127e-09,1.3911798056633939e-09,3.2268550964746927e-19,3.3939878049163121e-16,1.3366527099266095e-16,1.872891093437657e-19,1.3564957821911339e-21,4.2042628575291321e-14
1.101677364119411e-05,0.11349978218107964,0.0,0.0,0.0,0.0,0.97696475908904756,0.00065931551902870451,4.224199968357298e-05,0.0019663809293537183,9.7896214531359866e-05,0.01059553351273901,0.0096434097208282134,1.3960373054742171e-08,7.9538690000865028e-08,2.6267328135707267e-05,3.7181819894250515e-11,2.623681541677155e-11,1.0552845480965181e-13,5.5194484979640698e-09,4.9611376973209892e-11,4.011688837205149e-06,1.1019092360259128e-09,3.5124996896836397e-08,3.4177476578159785e-11,3.9453052180582143e-08,7.6905933711314118e-09,1.461394623792268e-09,3.4752167093379411e-19,3.609620914405117e-16,1.4215761211069563e-16,1.9755900689470784e-19,1.4819148105444623e-21,4.3714164467839853e-14
1.1130849822605404e-05,0.11351486863776782,0.0,0.0,0.0,0.0,0.97669058328794767,0.00065917657755736536,4.2359556552298678e-05,0.0019900791818319892,9.7882822816158059e-05,0.010725572459194699,0.009763127710728358,1.4129294418275943e-08,8.070537890143683e-08,2.6921378421084601e-05,3.8106187374159906e-11,2.6957464933507723e-11,1.0842701675913412e-13,5.7372993812918611e-09,5.1274751055018636e-11,4.1084870014686069e-06,1.1268089779981497e-09,3.6412532565063031e-08,3.513052246203641e-11,4.0732477516438556e-08,8.0083682603816316e-09,1.5341655884801163e-09,3.7391082866815864e-19,3.8358756512522638e-16,1.5106827149055179e-16,2.0824696119596554e-19,1.6171112965214618e-21,4.5430366801286915e-14
1.1244926004016699e-05,0.11352995151130119,0.0,0.0,0.0,0.0,0.97641655139048633,0.00065903829194379621,4.2476951733382504e-05,0.0020137687851121892,9.7869307484520424e-05,0.010855528234803468,0.0098827842695151276,1.4298060741279219e-08,8.1875900782045131e-08,2.7583239153882824e-05,3.9041570903994701e-11,2.768910632410818e-11,1.1136978969950196e-13,5.9609547584005055e-09,5.2974521979942013e-11,4.206376661362099e-06,1.1519641888254177e-09,3.7730440259074684e-08,3.6098798419891149e-11,4.2035378652603026e-08,8.3348949699925338e-09,1.609548559864511e-09,4.0192765261952911e-19,4.0731216014734064e-16,1.6041180490633815e-16,2.1936394554680527e-19,1.7627072115790472e-21,4.7191861902732767e-14
1.1473078366839289e-05,0.11356010644502858,0.0,0.0,0.0,0.0,0.97586892006315351,0.00065876352458650437,4.2711273578042888e-05,0.0020611220913309175,9.7841952361121497e-05,0.011115190008116239,0.010121912702831132,1.4635126448470525e-08,8.4228426448443159e-08,2.8930353199531433e-05,4.0945323847232788e-11,2.9185544971799059e-11,1.1738869352540183e-13,6.42600959168016e-09,5.6484874693524237e-11,4.4054198264966407e-06,1.2030381285981635e-09,4.045863775053213e-08,3.8081321450827624e-11,4.4711880706676919e-08,9.0146560806605185e-09,1.7683753808138696e-09,4.6315545224417977e-19,4.5821014721916845e-16,1.8045713424246205e-16,2.4292947404042598e-19,2.0877395290777596e-21,5.0853241318623219e-14
1.1701230729661878e-05,0.11359024687196616,0.0,0.0,0.0,0.0,0.97532186634000906,0.00065849091657778412,4.2944994140184508e-05,0.0021084409406718694,9.7814229977975475e-05,0.011374518434718227,0.010360794377174989,1.497156694174219e-08,8.6596229972745806e-08,3.0308593091911502e-05,4.2892954326044075e-11,3.0726489988644552e-11,1.235866087470629e-13,6.9152762825178692e-09,6.0145680911502882e-11,4.6087970808998584e-06,1.2551252494277721e-09,4.3312109005818133e-08,4.0125601320552794e-11,4.7483077643972545e-08,9.7307745694106944e-09,1.9383275717380938e-09,5.3185296272997674e-19,5.1396615284708652e-16,2.0241573003720628e-16,2.6834566703153846e-19,2.4626199815652901e-21,5.4703335898683724e-14
1.1929383092484468e-05,0.11362037270331693,0.0,0.0,0.0,0.0,0.97477539108157962,0.00065822020717966703,4.3178136827850583e-05,0.0021557254219185399,9.7786205247479049e-05,0.011633513291425777,0.010599428831779969,1.530737950367239e-08,8.8979270679662392e-08,3.1717882139595733e-05,4.4884338153785821e-11,3.2312297296659141e-11,1.2996496693711951e-13,7.4294214095757672e-09,6.3960194424738724e-11,4.8164872288599064e-06,1.3082197178523726e-09,4.6293353919861422e-08,4.2232184477579221e-11,5.0349449436935577e-08,1.0484137507600106e-08,2.1198617489851854e-09,6.087099503693768e-19,5.7490182971494373e-16,2.2641427210504943e-16,2.9570437946042494e-19,2.8934995784094934e-21,5.8747196581766669e-14
1.2157535455307058e-05,0.11365048385886498,0.0,0.0,0.0,0.0,0.97422949485302057,0.00065795117088431499,4.3410720690140811e-05,0.0022029756193255837,9.7757930458093853e-05,0.011892174492065673,0.010837815750097375,1.5642561880022795e-08,9.1377505128540827e-08,3.3158144076882372e-05,4.6919351378375319e-11,3.3943320219533849e-11,1.3652518921732219e-13,7.9691147860344288e-09,6.7931677097995309e-11,5.0284691371971761e-06,1.3623156869160917e-09,4.9404852811459665e-08,4.4401608671114702e-11,5.3311438419211476e-08,1.1275620905037759e-08,2.3134382988049024e-09,6.9445940156352188e-19,6.4135036897262157e-16,2.525839846247777e-16,3.2509919751587742e-19,3.3871083159079627e-21,6.2989891608899019e-14
1.2385687818129647e-05,0.11368058028263385,0.0,0.0,0.0,0.0,0.97368417798298612,0.00065768361325602327,4.364276125105226e-05,0.0022501916124217534,9.7729447832295226e-05,0.012150502058969677,0.011075954930437148,1.5977112243306645e-08,9.3790887255815686e-08,3.4629303013292358e-05,4.8997870333568192e-11,3.5619909382306763e-11,1.4326868585504251e-13,8.5350294023512818e-09,7.2063398448538924e-11,5.2447217409695838e-06,1.4174072921382686e-09,5.2649066584812972e-08,4.6634402798634777e-11,5.6369450881893665e-08,1.2106089484605618e-08,2.5195210312201367e-09,7.8987889121446789e-19,7.1365649275031738e-16,2.8106063319099508e-16,3.5662539205123442e-19,3.950792974594657e-21,6.7436506260328957e-14
1.2613840180952237e-05,0.11371066192494392,0.0,0.0,0.0,0.0,0.97313944060780999,0.00065741736718058887,4.3874271169113816e-05,0.0022973734761035651,9.7700791407978339e-05,0.012408496101823903,0.011313846264090193,1.6311029146559923e-08,9.6219368974630276e-08,3.613128339402338e-05,5.1119771642937457e-11,3.7342412769672684e-11,1.5019685649778319e-13,9.1278413707558382e-09,7.63586353265931e-11,5.4652240482627308e-06,1.4734886640482334e-09,5.6028436886710476e-08,4.893108737506687e-11,5.952385857003868e-08,1.2976396496397702e-08,2.7385768526090365e-09,8.9579189797179211e-19,7.9217641867135258e-16,3.1198451084739682e-16,3.9037986984072638e-19,4.5925559089526729e-21,7.2092142400663354e-14
