Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356)
1.1445153159365128e-15,0.11224537200002606,0.0,0.0,0.0,0.0,0.99999999999953626,4.6059522179113956e-13,1.4835110431702643e-15,5.7692411934344346e-23,1.4835110438498368e-15,4.1699832628233219e-23,1.2513840402735762e-23,1.8746770555861162e-44,8.1245213819817332e-40,4.4835386463361173e-47,4.3057311836467618e-68,6.7705646213549657e-71,2.5807327759950677e-76,2.4601699413454959e-78,5.5452097336852884e-79,6.6519964008732586e-52,2.7627942280945894e-53,5.1235698199362431e-75,1.963747168355482e-69,3.124466921422237e-66,1.5204011958027205e-76
2.2895275990097764e-15,0.11224537200005205,0.0,0.0,0.0,0.0,0.99999999999907274,9.2139044139171255e-13,2.9676663079636733e-15,2.3084479556182295e-22,2.9676663106828528e-15,1.6685364980903223e-22,5.0071662487411164e-23,3.0012263598352136e-43,6.5021076249632423e-39,7.176604488493784e-46,2.7574176799025781e-66,4.336967641116174e-69,3.3031445919371879e-74,3.1518056335199464e-76,7.1041527690212602e-77,2.1299171356685163e-50,8.8462492456378168e-52,6.5623637804960962e-73,1.2575852227065786e-67,2.0008791502647243e-64,1.9473177118711587e-74
4.579552165156304e-15,0.11224537200010415,0.0,0.0,0.0,0.0,0.99999999999814493,1.8429808802454091e-12,5.9359770086969529e-15,9.2352949917402058e-22,5.935977019575471e-15,6.6752326980172833e-22,2.0031926141535548e-22,4.8033537864750455e-42,5.2027081022797914e-38,1.148497654203156e-44,1.7653133821979545e-64,2.7768742453071328e-67,4.2219271882214169e-72,4.0360912116282536e-74,9.0973274725478538e-75,6.8177762641416201e-49,2.8316467133725558e-50,8.4025466412142782e-71,8.0512527762026969e-66,1.2809525519566796e-62,2.4933498287380037e-72
9.159601297449358e-15,0.11224537200020819,0.0,0.0,0.0,0.0,0.99999999999629041,3.68616175656301e-12,1.1872599094749296e-14,3.6944186508986498e-21,1.1872599138267152e-14,2.6703105677973005e-21,8.0134231378653814e-22,7.686468959546024e-41,4.162616258513495e-37,1.8378065082910291e-43,1.1299893444291767e-62,1.7775838464731524e-65,5.3849688569503664e-70,5.1673230824539053e-72,1.1647117439595967e-72,2.182012179882655e-47,9.0626083489188541e-49,1.0757092442768111e-68,5.1539088442846577e-64,8.1993346446316634e-61,3.192020321294885e-70
1.8319699562035465e-14,0.11224537200041644,0.0,0.0,0.0,0.0,0.99999999999257994,7.3725235036390347e-12,2.3745846005196416e-14,1.4778275924918976e-20,2.3745846179276889e-14,1.0681678319715229e-20,3.2055001204374917e-21,1.2299198904529559e-39,3.3303384195755045e-36,2.9407145979921892e-42,7.2326332834875235e-61,1.1377711701878186e-63,6.8421447811623439e-68,6.6148627456041082e-70,1.4909862571346434e-70,6.9829384323170719e-46,2.9002383492239123e-47,1.3770484258748203e-66,3.2991638753435101e-62,5.2479582048099354e-59,4.0862068123400341e-68
3.6639896091207683e-14,0.1122453720008329,0.0,0.0,0.0,0.0,0.99999999998515965,1.4745246975554387e-11,4.749235077945528e-14,5.9114306295805058e-20,4.7492351475807047e-14,4.2727593838343299e-20,1.2822264812154119e-20,1.9679288893741542e-38,2.6644736921800452e-35,4.7055017998091158e-41,4.6292343604422981e-59,7.2820495842751658e-62,8.6297951617542416e-66,8.4673938155412595e-68,1.9085453861360063e-68,2.2346082921234304e-44,9.2810210331153802e-46,1.7627715813557099e-64,2.112070937610978e-60,3.35880044957972e-57,5.2308187007812751e-66
7.328028914955211e-14,0.1122453720016658,0.0,0.0,0.0,0.0,0.99999999997031919,2.9490693830438275e-11,9.4985404141389952e-14,2.3645962985344825e-19,9.4985406926950882e-14,1.7091220406339281e-19,5.128960867550568e-20,3.1486972405742427e-37,2.131827799904789e-34,7.5296627272828418e-40,2.9629811398560005e-57,4.6605531673288324e-60,1.0731241564099661e-63,1.0838363996289518e-65,2.4429598250742451e-66,7.1507790227558485e-43,2.9699248098916963e-44,2.2565959684727972e-62,1.3524238286582704e-58,2.1496464997397261e-55,6.6962751981776671e-64
1.4656107526624098e-13,0.11224537200333155,0.0,0.0,0.0,0.0,0.99999999994063837,5.8981587184418785e-11,1.8997168611859524e-13,9.4584332442813439e-19,1.8997169726190012e-13,6.836530142927658e-19,2.0515969965222281e-19,5.0378135722254425e-36,1.7058300384959428e-33,1.2049982128267771e-38,1.8965987676972677e-55,2.9827381872273862e-58,1.2994679743362059e-61,1.3873035390413532e-63,3.1269706590668412e-64,2.2882056528871697e-41,9.5034795194374872e-43,2.8889923994213709e-60,8.6642045365457137e-57,1.3757525908302057e-53,8.5731028266717621e-62
2.931226474996187e-13,0.11224537200666307,0.0,0.0,0.0,0.0,0.99999999988127686,1.1796337246923041e-10,3.7994495108369331e-13,3.7833828729824388e-18,3.7994499566506201e-13,2.7346247780790717e-18,8.2064265725267862e-19,8.0600654613825051e-35,1.3652403628110476e-32,1.9287857205192221e-37,1.2141774159286184e-53,2.5226017511942265e-56,1.9804695075211828e-59,2.3421191628672089e-61,5.2791102393513156e-62,7.3218757472893726e-40,3.0408915219998649e-41,3.6992617306856971e-58,5.5561363371953578e-55,8.8044196617318607e-52,1.0978201586265787e-59
5.862457919663741e-13,0.11224537201332614,0.0,0.0,0.0,0.0,0.99999999976255338,2.3592693734625394e-10,7.598942850353922e-13,1.5133550364249603e-17,7.598944634253802e-13,1.0938559152416264e-17,3.2825889762852428e-18,1.2894621188860854e-33,1.0931095518879087e-31,3.0885658706451293e-36,7.7752099760211155e-52,1.6210607145574692e-54,2.1335992457630531e-57,3.0157524678968636e-59,6.7974545433179785e-60,2.3427391018456959e-38,9.7293643744808561e-40,4.7384782710824848e-56,3.570037051550456e-53,5.6342803389225545e-50,1.4063847016102392e-57
1e-12,0.11224537202665233,0.0,0.0,0.0,0.0,0.99999999959497043,4.0243687548960101e-10,1.2962148010076095e-12,4.7175928266454331e-17,1.2962153574670247e-12,3.4099113168193113e-17,1.0232919327557175e-17,1.4936990838914577e-32,6.5038301381214044e-31,3.5842330670568397e-35,3.5389023042435453e-50,7.377353757771513e-53,1.4607932241263094e-55,2.7361366304489788e-57,6.1671734415322562e-58,5.3587142535034155e-37,2.2252845140833233e-38,4.3007711267665278e-54,1.6357963031656607e-51,2.5610323501666176e-48,1.2767604212422382e-55
1.172492080899885e-12,0.11224537202665233,0.0,0.0,0.0,0.0,0.99999999952510621,4.7185404432988269e-10,1.5198041688548276e-12,6.0534236975731346e-17,1.5198048829295147e-12,4.3754633472113657e-17,1.3130477640710954e-17,2.0626577994939002e-32,8.7595327626627045e-31,4.9497213055509025e-35,4.9818386887334237e-50,1.0385354796329607e-52,2.0608958174206867e-55,3.8642459226511031e-57,8.7098992648790645e-58,7.4950680621143731e-37,3.1124333724877755e-38,6.0739868355735133e-54,2.3028683755953601e-51,3.6052250217863286e-48,1.803172371570639e-55
2.344984658766907e-12,0.11224537205330465,0.0,0.0,0.0,0.0,0.99999999905021209,9.4370816721531917e-10,3.0396687987981411e-12,2.4213700113303241e-16,3.039671659211864e-12,1.7502154180860126e-16,5.2522834380642891e-17,3.2987068736284233e-31,7.031067277791941e-30,7.9451941802598847e-34,3.1956604753124385e-48,6.6637285296739428e-51,1.7717552913871442e-53,4.9589117166983898e-55,1.117712894097484e-55,2.39733220790406e-35,9.9536093310761615e-37,7.7970171803689562e-52,1.4969104592581587e-49,2.3064261127220036e-46,2.315729672114522e-53
3.517477236633929e-12,0.11224537207995698,0.0,0.0,0.0,0.0,0.99999999857531763,1.4155621989627098e-09,4.5595782895057644e-12,5.1454114125594098e-16,4.5595843739272e-12,3.7192514718782161e-16,1.1161236584205093e-16,1.2573595421160099e-30,2.0149213618064612e-29,2.9295596566169971e-33,1.784668783973113e-47,3.3089799999165253e-50,9.3681806428029378e-53,2.9391305426054825e-54,6.6246247726389192e-55,1.1249520997066638e-34,4.6704413598506945e-36,5.1024823121788453e-51,8.4594806032685078e-49,1.2960431275235559e-45,1.5244437172460953e-52
4.689969814500951e-12,0.11224537210660934,0.0,0.0,0.0,0.0,0.99999999810042284,1.8874161395718499e-09,6.0795326396180811e-12,8.7774664238662918e-16,6.0795430284147925e-12,6.3446738690449572e-16,1.9039966735502394e-16,3.3824049160284533e-30,4.2604781094422451e-29,7.4440247728161939e-33,6.7120939256292647e-47,1.4022315163626438e-49,4.0334496966705851e-52,1.329273897190257e-53,2.996098459263979e-54,3.5062729908373404e-34,1.4556097081915049e-35,2.1327540769853101e-50,3.0411534732346433e-48,4.6168332897387369e-45,6.139975878949567e-52
7.034954970234994e-12,0.11224537215991406,0.0,0.0,0.0,0.0,0.99999999715063348,2.8311238067470823e-09,9.1195466174302044e-12,1.8172628352766028e-15,9.1195681589034807e-12,1.3136077317513423e-15,3.9420557747303847e-16,1.3676822858009221e-29,1.1700201407189205e-28,2.6139952128979773e-32,4.8364710215362827e-46,1.2704441767361278e-48,3.8161958990724026e-51,1.3836612588532416e-52,3.1186736350335731e-53,1.7271520778459363e-33,7.1695129165285766e-35,1.7692593440332554e-49,1.8648406377974842e-47,2.7370222468220483e-44,4.3614812315785374e-51
9.379940125969038e-12,0.11224537221321879,0.0,0.0,0.0,0.0,0.99999999620084346,3.774831138700103e-09,1.2159725547746175e-11,3.0906878973152974e-15,1.2159762237206639e-11,2.2341408379502474e-15,6.704521590604414e-16,3.7037311568384614e-29,2.4601313292618769e-28,6.5554137548680578e-32,1.7789700836050447e-45,5.0263349344597943e-48,1.5635829203743502e-50,6.2118113780006957e-52,1.4000932962936545e-52,5.4182849927772463e-33,2.2489986012206352e-34,7.3939462715270969e-49,6.7472157598107255e-47,9.7341905443591816e-44,1.7391305169301124e-50
