Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806)
1.2326805046379922e-15,0.11224537200002802,0.0,0.0,0.0,0.0,0.99999999999950084,4.9607623573739372e-13,1.5977906975506679e-15,6.6923186144225293e-23,1.5977906983389657e-15,4.837179810071982e-23,1.451605601024112e-23,2.5225645087001039e-44,1.0150441049886911e-39,6.0330479984305214e-47,6.7207952714036588e-68,1.0568143775587695e-70,4.3382462801306298e-76,4.1358799181445474e-78,9.3222452268856262e-79,9.6404358927208514e-52,4.0039926430997097e-53,8.6134025816371682e-75,3.0652076486930612e-69,4.87696520615155e-66,2.5560020728262262e-76,5.1273583860667394e-89,4.5442609603756378e-145,1.7405107315340103e-121,5.9466512450894517e-127
2.465896259169444e-15,0.11224537200005606,0.0,0.0,0.0,0.0,0.99999999999900135,9.9236787569815026e-13,3.1962752479321025e-15,2.677799160360431e-22,3.1962752510863262e-15,1.9355020302188548e-22,5.8083133134619725e-23,4.038448546664616e-43,8.1234664428791257e-39,9.6568387916857547e-46,4.3040408505902832e-66,6.7695527675132089e-69,5.5522268724278797e-74,5.2986131270196404e-76,1.1943037847453351e-76,3.0867919437310699e-50,1.2820468090847993e-51,1.1032209062633346e-72,1.9629637284764275e-67,3.1231624306517182e-64,3.2737078686598803e-74,1.3134465675925324e-86,3.7276723514756421e-141,3.5686895248729975e-118,2.4385456030326461e-123
4.932327768232347e-15,0.11224537200011213,0.0,0.0,0.0,0.0,0.99999999999800226,1.9849511552166224e-12,6.3932445472248517e-15,1.0712940317328884e-21,6.3932445598438392e-15,7.7432687188891571e-22,2.323703624455361e-22,6.463389768912358e-42,6.5000532843354986e-38,1.5454191654102666e-44,2.7554706679959765e-64,4.3344096152525523e-67,7.0955726340890668e-72,6.7852163328025973e-74,1.5293831000736829e-74,9.8806920946732735e-49,4.1037768585754182e-50,1.4125808101490445e-70,1.2567223885526538e-65,1.9994324220656703e-62,4.191664772732301e-72,3.3635181533537612e-84,3.0553939073132104e-137,7.3128458264864895e-115,9.9938092727097781e-120
9.865190786358154e-15,0.11224537200022429,0.0,0.0,0.0,0.0,0.99999999999600409,3.970117712641405e-12,1.2787183939929767e-14,4.2855248856190984e-21,1.2787183990410129e-14,3.0975597900048149e-21,9.2955716564436436e-22,1.0342906232704572e-40,5.2006098124111373e-37,2.4729560096420658e-43,1.7637971120423689e-62,2.774621355086043e-65,9.0476299272444658e-70,8.6869682535828186e-72,1.958036591361673e-72,3.1622902699114597e-47,1.3134023849506325e-48,1.8084131159400569e-68,8.04478987162593e-64,1.2798298840554782e-60,5.3662315745061823e-70,8.6120886852992313e-82,2.5030616761347441e-133,1.4980750790500312e-111,4.0944274370731399e-116
1.973091682260977e-14,0.11224537200044853,0.0,0.0,0.0,0.0,0.99999999999200839,7.9404508210423316e-12,2.5575065901816461e-14,1.7142797074079059e-20,2.557506610374858e-14,1.2390745102028023e-20,3.7183805049769691e-21,1.6549787131934089e-39,4.1608028627040934e-36,3.9570390131683117e-42,1.1289412055770871e-60,1.7759402881648804e-63,1.1489381352862146e-67,1.1120473039309692e-69,2.5065466563418551e-70,1.0120049930511769e-45,4.2031812406481346e-47,2.3150091651222461e-66,5.1497485328990685e-62,8.1915087258943489e-59,6.8694976433752752e-68,2.204925617681785e-79,2.0495480697612678e-129,3.0683781136006014e-108,1.6771362859353463e-112
3.9462368895113e-14,0.11224537200089703,0.0,0.0,0.0,0.0,0.99999999998401679,1.588111701204962e-11,5.1150842531490833e-14,6.857258329948878e-20,5.1150843339255345e-14,4.9564002863347833e-20,1.4873828952399068e-20,2.6480412313746371e-38,3.3289093024258929e-35,6.3317694934745306e-41,7.2257885314917263e-59,1.1366500228171766e-61,1.4475104411136626e-65,1.423481685497992e-67,3.2085169629709158e-68,3.2385127433187993e-44,1.3450544275338612e-45,2.9634735154842663e-64,3.2968482408595278e-60,5.2427303935933285e-57,8.7937891475629817e-66,5.6451159665373873e-77,1.676971671642202e-125,6.2839828746365288e-105,6.8685366281823723e-109
7.892527304011946e-14,0.11224537200179409,0.0,0.0,0.0,0.0,0.9999999999680329,3.1762449290885902e-11,1.0230244661439155e-13,2.7429312255018441e-19,1.0230244984563937e-13,1.9825814080786739e-19,5.9495955618429917e-20,4.2368760087825428e-37,2.6634598548362118e-34,1.0132067405106759e-39,4.6249534561447016e-57,7.274620213633694e-60,1.7961715922851022e-63,1.8220722076615163e-65,4.1069355588243512e-66,1.0363276504101917e-42,4.3041649465263879e-44,3.7936899472254623e-62,2.1111539237242262e-58,3.3553664142520856e-55,1.1257531306333003e-63,1.4453224316076107e-74,1.37029909248914e-121,1.2867970143646148e-101,2.8122166925670174e-105
1.5785108133013236e-13,0.11224537200358817,0.0,0.0,0.0,0.0,0.99999999993606581,6.3525113435845319e-11,2.0460585807398627e-13,1.0971780634984181e-18,2.0460587100029834e-13,7.9303749736551275e-19,2.3798530960486753e-19,6.7788490299243547e-36,2.1312618196211865e-33,1.6214954587792131e-38,2.9604568904355428e-55,4.6557383469282538e-58,2.1665654092666616e-61,2.3322436275760428e-63,5.2568540252631598e-64,3.3161779756134089e-41,1.3772881023681628e-42,4.8569144526084953e-60,1.352598755804793e-56,2.1473973398933358e-53,1.4413016308145778e-61,3.7007990637728447e-72,1.1168255610650202e-117,2.6345516128596649e-98,1.1508919966367854e-101
3.1570269791015817e-13,0.11224537200717635,0.0,0.0,0.0,0.0,0.99999999987213117,1.2705044007491109e-10,4.0921349416503058e-13,4.3887233571609687e-18,4.0921354588044987e-13,3.1721652609846254e-18,9.519458727579863e-19,1.0845522419166435e-34,1.7057845777686341e-32,2.5955349511540187e-37,1.8952871365574183e-53,3.9375763698391165e-56,3.2802807403996278e-59,3.9374789625367017e-61,8.875026066845753e-62,1.0611168898871381e-39,4.4069739392905318e-41,6.2192950523538745e-58,8.6751974237094649e-55,1.3742670661203108e-51,1.8457037104995451e-59,9.477864130462949e-70,4.786370950005724e-113,8.5658023287955097e-95,7.4748982287758227e-98
6.314059310702099e-13,0.11224537201435272,0.0,0.0,0.0,0.0,0.99999999974426201,2.5410108674962752e-10,8.1843201900799304e-13,1.7554915287380332e-17,8.1843222595024983e-13,1.2688734812564662e-17,3.8078060403784024e-18,1.7350682853994568e-33,1.3658617710992378e-31,4.1564911774495679e-36,1.2137357160850033e-51,2.5304551238232405e-54,3.4990976832637599e-57,5.070186329826966e-59,1.1428101809854235e-59,3.3951658372770994e-38,1.4099990740249287e-39,7.9668940685607474e-56,5.5758450224014201e-53,8.7943859598989321e-50,2.3646275573576602e-57,2.4282695101439241e-67,3.8452982272179766e-109,1.7523426466751793e-91,3.051858511241297e-94
