Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550),C5H7(535),C5H7(806),C5H8(470),C7H9(588),C5H9(108)
1.3265231301788519e-12,0.11224537203015365,0.0,0.0,0.0,0.0,0.99999999946271911,5.3384190213382714e-10,1.7194670132608953e-12,7.7483808785538439e-17,1.7194679274423073e-12,5.600604591377764e-17,1.6807050815231629e-17,3.3792491436075329e-32,1.2690733424700361e-30,8.1130681340386868e-35,1.0450803600960672e-49,2.1786248891027401e-52,4.5940212814468346e-55,9.1712869265087326e-57,2.0671776422126447e-57,1.3892296342993424e-36,5.7688510804398051e-38,1.4416890162817356e-53,4.839400835285156e-51,7.5603049959884714e-48,4.2801762964461448e-55,9.2321786784860406e-65,5.7297313301655391e-105,6.1498669076146882e-88,2.2392799533942974e-90,5.0514986605207794e-80,2.8611661019912924e-126,1.8713922557990511e-71
2.653046822611737e-12,0.11224537206030732,0.0,0.0,0.0,0.0,0.99999999892543767,1.0676838750932112e-09,3.4390113204446108e-12,3.0993529928417797e-16,3.4390149831291509e-12,2.2402853020394991e-16,6.7229538291975261e-17,5.4039337732354226e-31,1.0190991528057924e-29,1.3028435072053755e-33,6.7057881008902173e-48,1.3985204501824583e-50,3.871031171360532e-53,1.1774476258457566e-54,2.6538968351607902e-55,4.443249916355288e-35,1.844736957597472e-36,1.8513493852341215e-51,3.1519521817821826e-49,4.8364173610480794e-46,5.4992068963167721e-53,2.3713019038261228e-62,4.3583999188417068e-101,1.2528774936131366e-84,9.0403517326528683e-87,2.7778506298226601e-77,1.8419355408892235e-121,9.6071987246858576e-69
3.9795705150446225e-12,0.11224537209046102,0.0,0.0,0.0,0.0,0.9999999983881559,1.6015257313958329e-09,5.158613048715986e-12,6.5861252294369709e-16,5.1586208406705354e-12,4.7606695043563573e-16,1.428647116893781e-16,2.0597448152039911e-30,2.9213192254020089e-29,4.8049690426258857e-33,3.7453932488407514e-47,6.945358684230013e-50,2.0369681003952901e-52,6.979368232215167e-54,1.5731019894440306e-54,2.084953190024602e-34,8.6556123414622886e-36,1.2117020592086702e-50,1.7825072231995064e-48,2.7176655619702147e-45,3.6206169373165404e-52,1.78325346500439e-61,2.4934440666328778e-100,9.9348238629658218e-84,8.0543751359026268e-86,1.7873065255811615e-76,1.178918905287038e-120,7.5988460001273816e-68
5.306094207477508e-12,0.11224537212061468,0.0,0.0,0.0,0.0,0.99999999785087379,2.1353674710413943e-09,6.8782721961061426e-12,1.1235154581029071e-15,6.8782855020058706e-12,8.1212411206519714e-16,2.4371343315033061e-16,5.5407581055316326e-30,6.1789889074448435e-29,1.221244257339523e-32,1.4088460922223317e-46,2.9438881805813037e-49,8.7585312852383417e-52,3.1571635219450917e-53,7.1160163289732049e-54,6.4982916265570347e-34,2.6975702883967906e-35,5.0655225174664343e-50,6.4152980750069691e-48,9.6808794567494815e-45,1.4585900694621696e-51,8.2441112386120182e-61,4.2750555640572615e-99,8.3135514051915704e-83,6.7880110614227537e-85,1.360363140686043e-75,3.8126580883871922e-119,4.3712646395591957e-67
7.959141592343278e-12,0.1122453721809221,0.0,0.0,0.0,0.0,0.99999999677630946,3.2030506763570479e-09,1.0317725243332125e-11,2.3260958931684579e-15,1.0317752838989888e-11,1.6814339796121534e-15,5.0458820414773875e-16,2.2403331214970052e-29,1.6980794774923299e-28,4.2907389576430179e-32,1.0156456436050491e-45,2.6692914272615439e-48,8.2635463081962186e-51,3.2885513677830512e-52,7.4121268641377563e-53,3.2008840530763265e-33,1.3286117802431999e-34,4.2042599907578249e-49,3.9500807691992013e-47,5.7390882996299494e-44,1.0369717081561653e-50,7.85987855575119e-60,4.6556774509963122e-97,3.3238007916484799e-81,2.886021323746972e-83,3.681388943586867e-74,1.8489840498921581e-116,9.5489680782220554e-66
1e-11,0.11224537224122956,0.0,0.0,0.0,0.0,0.99999999594969946,4.0243663769525705e-09,1.2963670389037445e-11,3.5420289583481776e-15,1.2963712464248904e-11,2.5604185399488859e-15,7.6836645504605779e-16,4.9938272112220448e-29,3.0696279537260961e-28,8.9691701090951491e-32,2.945008650854408e-45,8.2530787355259978e-48,2.6273364404841135e-50,1.1364907104878042e-51,2.561549006367561e-52,8.0821895742826581e-33,3.3544900975271004e-34,1.3631437384465461e-48,1.1301010571034952e-46,1.6146558655269682e-43,3.2256257317128305e-50,2.7965476756596499e-59,2.9451257717600056e-96,1.6824783636402692e-80,1.6147184280203754e-82,1.4929934320298293e-73,1.7196918303350724e-115,4.1217826489642683e-65
1.061218897720905e-11,0.11224537224122956,0.0,0.0,0.0,0.0,0.9999999957017438,4.2707334525875592e-09,1.3757389424484307e-11,3.9560795480395034e-15,1.3757436434301751e-11,2.8597340289133422e-15,8.5818934617275826e-16,6.0666970732043795e-29,3.5727052939563141e-28,1.0765413897234292e-31,3.7367771519685018e-45,1.0564987113424654e-47,3.3765649132662152e-50,1.4769119546283342e-51,3.3288268172532697e-52,1.0041301058975803e-32,4.1675636872700958e-34,1.7575335693699031e-48,1.432084296943334e-46,2.0410733981280397e-43,4.1370015319919333e-50,3.648769077374274e-59,4.0491421483388894e-96,2.2740985798822441e-80,2.2005894897879729e-82,1.9748854934819357e-73,2.4162287214427199e-115,5.4898310347422684e-65
1.326523636207482e-11,0.11224537230153704,0.0,0.0,0.0,0.0,0.99999999462717781,5.3384157691639076e-09,1.7197279807663841e-11,6.0439950800126428e-15,1.7197351748188734e-11,4.3691137372269463e-15,1.3111459347775317e-15,1.3624498434084854e-28,6.5409574914405969e-28,2.2937099779695893e-31,1.1135240848899976e-44,3.3449205869253901e-47,1.0897384171278924e-49,5.1709088346067814e-51,1.1654719732562133e-51,2.5807294325225322e-32,1.0710177673844488e-33,5.8149008282751396e-48,4.2352534404930241e-46,5.9017842731928509e-43,1.3337748370532986e-49,1.3323609019666642e-58,3.372552106217088e-95,1.3574248238291825e-79,1.3571808414961388e-81,1.0259816876643541e-72,3.3266862323232364e-114,2.5499248316363204e-64
1.857133113180636e-11,0.11224537242215213,0.0,0.0,0.0,0.0,0.99999999247804294,7.4737789945399134e-09,2.4077753299884109e-11,1.1622385415089992e-14,2.4077892174950135e-11,8.4020356867570799e-15,2.5214054461994753e-15,5.2775796138950977e-28,1.7511220435528615e-27,8.5133190979564469e-31,9.336158872785011e-44,2.800177306379677e-46,9.8193287267502367e-49,6.9163367403333089e-50,1.5588344294329965e-50,1.4544498866555065e-31,6.0337643722613728e-33,7.5430790120578734e-47,3.8468735108879264e-45,4.9265185856026139e-42,1.7258877357971175e-48,2.7363128083172512e-57,6.9862134093486357e-93,1.4228920848238646e-77,2.6732934348443556e-79,3.4227678430133714e-71,4.0544436935216827e-111,1.0838728925083028e-62
2.918352067126944e-11,0.11224537266338272,0.0,0.0,0.0,0.0,0.99999998817976221,1.1744499848464851e-08,3.7841453732032909e-11,2.8355084683434827e-14,3.7841795359952507e-11,2.0500443281660129e-14,6.1520869801524457e-15,3.3854828639321462e-27,6.9649248058208575e-27,5.5508936394921624e-30,1.7360517619131996e-42,4.9384981533433445e-45,1.8389149112123623e-47,2.2869501458010215e-48,5.1541164929782616e-49,1.6243349282371207e-30,6.7322310964774882e-32,2.6386738766673581e-45,8.7163429700565346e-44,9.9168132469757371e-41,6.674467148233916e-47,1.829000743515633e-55,4.5637689449860908e-90,4.4143766917570122e-75,1.5764827011695302e-76,3.2717240714013862e-69,1.6044997534543122e-107,1.1029150203278655e-60
