Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52),C3H6(18),C3H7(19),C#CC(38),C3H5(39),C3H5(40),C3H4(356),C3H3(309),C5H5(550)
1.1894149984373778e-15,0.11224537200002706,0.0,0.0,0.0,0.0,0.99999999999951827,4.786645955194165e-13,1.5417095365665419e-15,6.2307793997837255e-23,1.5417095373004877e-15,4.5035811997678518e-23,1.3514942083484355e-23,2.1866225431361447e-44,9.1187121996722687e-40,5.2295974600279898e-47,5.423978110043341e-68,8.5289589980616971e-71,3.3783908846596926e-76,3.2206861234020531e-78,7.2594046362237331e-79,8.063267985413238e-52,3.3489425426556591e-53,6.7074104300159952e-75,2.4737564756064016e-69,3.9359263426888809e-66,1.9904044323160431e-76,3.8526245873557004e-89,2.8558932993602997e-145
2.379346460182805e-15,0.11224537200005409,0.0,0.0,0.0,0.0,0.99999999999903633,9.5753703485451674e-13,3.0840885700500823e-15,2.49312335626627e-22,3.0840885729868264e-15,1.8020191293753129e-22,5.4077373309072545e-23,3.5006291232493373e-43,7.2977659802310784e-39,8.3707892883766305e-46,3.4735504410371231e-66,5.4633283893354256e-69,4.3239272463091906e-74,4.126128097059527e-76,9.3002645943246925e-77,2.5817951960710423e-50,1.0723049670202201e-51,8.5909773225587126e-73,1.5841965489166772e-67,2.520530072424608e-64,2.5492944305369796e-74,9.8690507015997885e-87,2.342705405920282e-141
4.759209383673659e-15,0.1122453720001082,0.0,0.0,0.0,0.0,0.99999999999807232,1.9152819131494727e-12,6.1688468218552887e-15,9.9741168475150381e-22,6.1688468336042099e-15,7.2092501687402704e-22,2.1634471389110924e-22,5.6026295698843828e-42,5.8393613498617141e-38,1.3396076472521813e-44,2.223785754695312e-64,3.4980604260872795e-67,5.5262368291844752e-72,5.2837738649579086e-74,1.1909590011080003e-74,8.26421887397405e-49,3.4324023738411429e-50,1.1000015546771505e-70,1.0142280778294313e-65,1.6136303531724588e-62,3.2641229621565862e-72,2.5272991500639099e-84,1.9202139526530826e-137
9.518935230655368e-15,0.1122453720002164,0.0,0.0,0.0,0.0,0.99999999999614431,3.8307716682384076e-12,1.2338364064818109e-14,3.9899714454280667e-21,1.2338364111817894e-14,2.8839349625918063e-21,8.6544934740129576e-22,8.965493090419214e-41,4.6719962984361875e-37,2.1436185516193217e-43,1.4234611920881584e-62,2.2392425300534179e-65,7.0475512006250704e-70,6.7647042015819628e-72,1.5247596181119906e-72,2.6449423218719454e-47,1.0985309467148882e-48,1.4082425423125247e-68,6.4924701353519791e-64,1.0328793544778682e-60,4.1787766952363812e-70,6.4709967101796565e-82,1.5731092765912118e-133
1.9038386924618784e-14,0.11224537200043277,0.0,0.0,0.0,0.0,0.99999999999228895,7.6617511724123719e-12,2.4677401508152669e-14,1.5960535208149403e-20,2.4677401696161658e-14,1.1536210842347288e-20,3.4619387423875746e-21,1.4345776651840592e-39,3.7378763274331525e-36,3.4300545860807916e-42,9.111041703532463e-61,1.4332629168244306e-63,8.9520260832036064e-68,8.6597216545157656e-70,1.9518950690152536e-70,8.4644196690147689e-46,3.5155452492959551e-47,1.8027361032753929e-66,4.1560353761719689e-62,6.6109108303421315e-59,5.3493905279337786e-68,1.6567472157314266e-79,1.2881169535400532e-129
3.8077290312545614e-14,0.11224537200086555,0.0,0.0,0.0,0.0,0.99999999998457767,1.5323710156744666e-11,4.9355488224451604e-14,6.3843439632352623e-20,4.9355488976520491e-14,4.6145794850659956e-20,1.3848040592876569e-20,2.2953901641174716e-38,2.9905350060472179e-35,5.4885163520234077e-41,5.8315146120877449e-59,9.1732750620434464e-62,1.1284525617428998e-65,1.1084923509590654e-67,2.4985334135682175e-68,2.708695957307472e-44,1.1250053632002105e-45,2.3077021348129727e-64,2.6606520682999316e-60,4.23111693625479e-57,6.8478543928101072e-66,4.2416459506678024e-77,1.0540047416250782e-125
7.615509708839928e-14,0.11224537200173114,0.0,0.0,0.0,0.0,0.99999999996915478,3.0647628029346707e-11,9.8711708975522143e-14,2.5537635554210288e-19,9.8711711983969183e-14,1.8458515822660293e-19,5.5392756925162126e-20,3.672635000422663e-37,2.3927171452096711e-34,8.7826640538434546e-40,3.7325214268993492e-57,5.870946263039741e-60,1.4017216997903244e-63,1.4188828157192516e-65,3.1981501103727434e-66,8.6678616059989021e-43,3.6000120917653275e-44,2.9541942960165849e-62,1.7037303821110889e-58,2.7079314183468791e-55,8.7663724895502268e-64,1.0859873661007842e-74,8.6133350776497711e-122
1.523107106401066e-13,0.11224537200346224,0.0,0.0,0.0,0.0,0.99999999993830979,6.1295463390300631e-11,1.9742433975118144e-13,1.0215106113373947e-18,1.9742435178615829e-13,7.3834519732760224e-19,2.2157240322920765e-19,5.8760902519320298e-36,1.9146022708181832e-33,1.4055315757754382e-38,2.3891935295967073e-55,3.757388013629481e-58,1.6939994147868795e-61,1.8161619061433737e-63,4.0936111392589044e-64,2.7736597261694902e-41,1.151968189549041e-42,3.7821148873089418e-60,1.0915249323176028e-56,1.7330477464894299e-53,1.1223497437665339e-61,2.7806895324490671e-72,7.0213225266153176e-118
3.0462193774352126e-13,0.11224537200692448,0.0,0.0,0.0,0.0,0.99999999987661925,1.2259113257520738e-10,3.9485035839359154e-13,4.0860527846744748e-18,3.9485040654264075e-13,2.9533947722040689e-18,8.8629385531409336e-19,9.4012139230036233e-35,1.5323538717778542e-32,2.2498061237719373e-37,1.5295472553709272e-53,3.1777743138605377e-56,2.5730564772324753e-59,3.066164754884482e-61,6.9110959170584651e-62,8.8752278528670883e-40,3.6860179697033466e-41,4.8429447276834469e-58,7.0002180488751232e-55,1.1090983887036231e-51,1.4372372975079467e-59,7.1213349652299061e-70,3.010135918801888e-113
6.092443919503506e-13,0.11224537201384899,0.0,0.0,0.0,0.0,0.99999999975323783,2.451824647970138e-10,7.8970542401893124e-13,1.6344231505081465e-17,7.8970561668752568e-13,1.1813645886611441e-17,3.5451958368213506e-18,1.5040142666192898e-33,1.2269529189928744e-31,3.6027305323029667e-36,9.7949590217991379e-52,2.0421293368422304e-54,2.7579281602289981e-57,3.948132788625216e-59,8.8990165942374463e-60,2.8397436985621635e-38,1.1793381370918694e-39,6.2036258072901828e-56,4.4986103778890575e-53,7.0975113102276581e-50,1.8412619755260665e-57,1.8244657825285251e-67,2.4199064700683173e-109
