Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3)
7.314532735329842e-09,0.11224553720416526,0.0,0.0,0.0,0.0,0.99999705461271171,2.9418548929513472e-06,1.766197662104421e-09,1.766197662104421e-09
8.672908056560461e-09,0.11224556788381655,0.0,0.0,0.0,0.0,0.9999965072444521,3.4877897077052946e-06,2.4829201253245505e-09,2.4829201253245505e-09
9.999999999999999e-09,0.11224559856333742,0.0,0.0,0.0,0.0,0.99999597236708482,4.0210315901653855e-06,3.3006624999079952e-09,3.3006624999079952e-09
1.003128337779108e-08,0.11224559856333742,0.0,0.0,0.0,0.0,0.99999595975711708,4.0336002026226517e-06,3.3213401781275377e-09,3.3213401781275377e-09
1.274803402025232e-08,0.11224565992191175,0.0,0.0,0.0,0.0,0.99999486442669105,5.1248469863221406e-06,5.3631613342735089e-09,5.3631613342735089e-09
1.546478466271356e-08,0.1122457212797359,0.0,0.0,0.0,0.0,0.99999376862437228,6.2155927539000637e-06,7.8914369504466664e-09,7.8914369504466664e-09
1.8181535305174798e-08,0.1122457826366578,0.0,0.0,0.0,0.0,0.9999926723530963,7.30583502013515e-06,1.0905941730571813e-08,1.0905941730571813e-08
2.0898285947636038e-08,0.11224584399252548,0.0,0.0,0.0,0.0,0.99999157561579655,8.395571304735509e-06,1.4406449279625854e-08,1.4406449279625854e-08
2.6331787232558516e-08,0.11224596670049164,0.0,0.0,0.0,0.0,0.99998938075484434,1.0573516032499467e-05,2.2864561610571625e-08,2.2864561610571625e-08
3.719878980240347e-08,0.1122462120971135,0.0,0.0,0.0,0.0,0.99998498556940196,1.492322512582039e-05,4.5602736104565043e-08,4.5602736104565043e-08
4.806579237224843e-08,0.11224645745995548,0.0,0.0,0.0,0.0,0.99998058325478145,1.9264563048773608e-05,7.6091084941447465e-08,7.6091084941447465e-08
5.8932794942093387e-08,0.11224670277942857,0.0,0.0,0.0,0.0,0.99997617399697825,2.3597374114344211e-05,1.1431445369420925e-07,1.1431445369420925e-07
6.979979751193834e-08,0.11224694804600334,0.0,0.0,0.0,0.0,0.99997175798122251,2.7921503954491825e-05,1.6025741142270249e-07,1.6025741142270249e-07
8.06668000817833e-08,0.11224719325020863,0.0,0.0,0.0,0.0,0.99996733539195304,3.223679954054323e-05,2.1390425320271611e-07,2.1390425320271611e-07
9.153380265162826e-08,0.11224743838263451,0.0,0.0,0.0,0.0,0.99996290641279229,3.6543109202492005e-05,2.7523900258363799e-07,2.7523900258363799e-07
9.999999999999998e-08,0.11224792839482003,0.0,0.0,0.0,0.0,0.99995945160010458,3.9891718463792347e-05,3.2834071580290861e-07,3.2834071580290861e-07
1.1326780779131817e-07,0.11224792839482003,0.0,0.0,0.0,0.0,0.9999540300150761,4.5128170974120684e-05,4.2090697481450086e-07,4.2090697481450086e-07
1.3500181293100807e-07,0.11224841800853784,0.0,0.0,0.0,0.0,0.99994513023985998,5.3675503781956103e-05,5.9712817910692808e-07,5.9712817910692808e-07
1.5673581807069799e-07,0.11224890715082675,0.0,0.0,0.0,0.0,0.99993620852440002,6.2183945036863581e-05,8.0376528157084905e-07,8.0376528157084905e-07
1.784698232103879e-07,0.11224939574978525,0.0,0.0,0.0,0.0,0.99992726629072137,7.0652355586282614e-05,1.0406768462381998e-06,1.0406768462381998e-06
2.002038283500778e-07,0.11224988373465358,0.0,0.0,0.0,0.0,0.99991830494493505,7.9079620224614119e-05,1.3077174200748022e-06,1.3077174200748022e-06
