Time (s),Volume (m^3),Ar,He,Ne,N2,ethane(1),CH3(4),C2H5(5),C(3),H(6),C2H4(8),H2(12),C3H7(14),C2H3(13),C#C(25),C3H5(32),C4H7(28),C4H7(50),C4H6(30),C4H7(52)
9.977658574532091e-16,0.11224537200002269,0.0,0.0,0.0,0.0,0.99999999999959588,4.015376051414964e-13,1.2932946345448834e-15,4.3846256675733804e-23,1.2932946350613638e-15,3.1691890215861522e-23,9.5105215551012681e-24,1.0828147461893479e-44,5.3829289222277324e-40,2.5896950888872279e-47,1.7636834574821049e-68,2.9721234285377925e-71,9.8774442949569904e-77,9.4148725300834932e-79,2.1221054708559798e-79
1.9959649610451303e-15,0.11224537200004539,0.0,0.0,0.0,0.0,0.99999999999919142,8.0324956434398903e-13,2.5871508819705017e-15,1.7544213908241555e-22,2.5871508840370999e-15,1.2680884328331217e-22,3.8054474807937354e-23,1.7335105505687809e-43,4.3079914292959562e-39,4.1452101355959276e-46,1.1294756449451853e-66,1.9038300815221075e-69,1.2643917739210083e-74,1.2061708064087054e-76,2.7187002652848201e-77
3.992363168228972e-15,0.11224537200009072,0.0,0.0,0.0,0.0,0.99999999999838318,1.6066734824849143e-12,5.1748635068931108e-15,7.018827972727181e-22,5.1748635151608669e-15,5.0731796066510195e-22,1.5224268329459635e-22,2.7744211811652855e-42,3.4470673769334686e-38,6.6337224688549364e-45,7.2309651793713322e-65,1.2189848596372536e-67,1.6164772158144203e-72,1.5445801641869254e-74,3.4814724464154152e-75
7.985159582596655e-15,0.11224537200018152,0.0,0.0,0.0,0.0,0.9999999999967657,3.2135213177105191e-12,1.0350289277023744e-14,2.8077596865457422e-21,1.0350289310097624e-14,2.0294371169317406e-21,6.0902033169986493e-22,4.4397125423281773e-41,2.757947266170608e-37,1.0615153152695256e-43,4.6285885242006304e-63,7.8031935169389239e-66,2.0627684507966499e-70,1.9774944786806687e-72,4.4572580029606726e-73
1.5970752411332022e-14,0.11224537200036304,0.0,0.0,0.0,0.0,0.9999999999935314,6.4272169839367543e-12,2.0701142898426266e-14,1.1231495751738794e-20,2.0701143030728485e-14,8.1180797276011858e-21,2.4361807423022742e-21,7.1040353731515566e-40,2.206512993570371e-36,1.6985484672625931e-42,2.9625790882455982e-61,4.9945635056848041e-64,2.6234454627317858e-68,2.5314586085374179e-70,5.7058886733166424e-71
3.194193806880276e-14,0.11224537200072607,0.0,0.0,0.0,0.0,0.99999999998706268,1.2854608299489325e-11,4.1402858465792888e-14,4.4926896989331518e-20,4.1402858995022921e-14,3.2472987038474167e-20,9.7449235231877289e-21,1.1366802750612951e-38,1.7653329948787552e-35,2.7178668999468485e-41,1.8961867589069212e-59,3.1966624258379904e-62,3.3150354646648316e-66,3.2404123556462244e-68,7.3038640609951279e-69
6.388430938374423e-14,0.11224537200145218,0.0,0.0,0.0,0.0,0.99999999997412503,2.5709390862994855e-11,8.2806322898744908e-14,1.7970941557829217e-19,8.2806325015769798e-14,1.2989332919423929e-19,3.8980108959795929e-20,1.8187000989390476e-37,1.4124122786021584e-34,4.3490270978352119e-40,1.2136616625238844e-57,2.0458847835244773e-60,4.1370270701570904e-64,4.1477713758856439e-66,9.3490415499134165e-67
1.277690520136272e-13,0.11224537200290437,0.0,0.0,0.0,0.0,0.99999999994824984,5.1418955719607447e-11,1.656133849573042e-13,7.1884131469090501e-19,1.6561339342611235e-13,5.1957643704839202e-19,1.5592137562143249e-19,2.90987817861105e-36,1.1301431233964823e-33,6.9597188405890271e-39,7.7685111185822724e-56,1.3093574617225659e-58,5.042757321429294e-62,5.3091129197243234e-64,1.1966688811436586e-64
2.555385372733931e-13,0.11224537200580875,0.0,0.0,0.0,0.0,0.99999999989649935,1.0283808435123855e-10,3.3122804184328389e-13,2.8753725404916264e-18,3.3122807572392687e-13,2.0783148541712716e-18,6.2368826241340375e-19,4.6556073162136593e-35,9.044477329979757e-33,1.1139525511280304e-37,4.9731509199002335e-54,1.1073407794805706e-56,7.7730010438219439e-60,8.9629094375648895e-62,2.0202287479193069e-62
5.110775077929249e-13,0.1122453720116175,0.0,0.0,0.0,0.0,0.99999999979299858,2.0567633728812307e-10,6.6245948667661066e-13,1.1501504541088991e-17,6.6245962224194848e-13,8.3133005518955113e-18,2.4947656124314663e-18,7.4482882230610484e-34,7.2408813693577962e-32,1.7835876910552839e-36,3.18446136480343e-52,7.1154453693598966e-55,8.5209625661228148e-58,1.1540006773499142e-59,2.601097446860146e-60
